input_circuit_sha256,circuit_family,rule_set,budget_seconds,window_gates,LBL,RANDOM_TOPOLOGICAL,WCL,oracle_best_pp,oracle_worst_pp,random_listing_pp,best_minus_random_pp,random_minus_worst_pp,best_tie_count,worst_tie_count
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_ONLY,10,16,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_ONLY,10,64,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_ONLY,30,4,0.0,44.44444444444444,44.44444444444444,44.44444444444444,0.0,44.44444444444444,0.0,44.44444444444444,2,1
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_ONLY,30,16,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_ONLY,30,64,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_ONLY,120,4,0.0,44.44444444444444,44.44444444444444,44.44444444444444,0.0,44.44444444444444,0.0,44.44444444444444,2,1
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_ONLY,120,16,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_ONLY,120,64,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_PLUS_TEMPLATES,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_PLUS_TEMPLATES,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_PLUS_TEMPLATES,1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_PLUS_TEMPLATES,10,4,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_PLUS_TEMPLATES,10,16,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_PLUS_TEMPLATES,10,64,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_PLUS_TEMPLATES,30,4,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_PLUS_TEMPLATES,30,16,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_PLUS_TEMPLATES,30,64,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_PLUS_TEMPLATES,120,4,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_PLUS_TEMPLATES,120,16,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_PLUS_TEMPLATES,120,64,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_ONLY,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_ONLY,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_ONLY,1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_ONLY,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_ONLY,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_ONLY,10,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_ONLY,30,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_ONLY,30,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_ONLY,30,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_ONLY,120,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_ONLY,120,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_ONLY,120,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_PLUS_TEMPLATES,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_PLUS_TEMPLATES,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_PLUS_TEMPLATES,1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_PLUS_TEMPLATES,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_PLUS_TEMPLATES,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_PLUS_TEMPLATES,10,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_PLUS_TEMPLATES,30,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_PLUS_TEMPLATES,30,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_PLUS_TEMPLATES,30,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_PLUS_TEMPLATES,120,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_PLUS_TEMPLATES,120,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,QAOA,COMMUTATION_PLUS_TEMPLATES,120,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03eaab10a83e1dfeb034fd7582bcf4a2ea7fa5b71a897818b9064ad6fb621c5a,UCCSD_inspired,COMMUTATION_ONLY,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03eaab10a83e1dfeb034fd7582bcf4a2ea7fa5b71a897818b9064ad6fb621c5a,UCCSD_inspired,COMMUTATION_ONLY,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
03eaab10a83e1dfeb034fd7582bcf4a2ea7fa5b71a897818b9064ad6fb621c5a,UCCSD_inspired,COMMUTATION_ONLY,1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
