run_id,run_order,circuit_family,input_circuit_sha256,n_qubits,listing_model,rule_set,window_gates,budget_seconds,status,valid_equivalent_output,time_to_first_valid_seconds,time_to_best_seconds,first_valid_event_index,best_event_index,event_count,input_gate_count,best_valid_gate_count,best_valid_reduction_pct_itt,cell_receipt_sha256
e32-8134639cc0f3e4e62dbff59f,22,Grover,0a54b71bfd47499f18a2421cd6bf97c15dc3f348b2d97f00df878dc6173f5324,8,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,60.0,success,True,5.5848526,5.5848526,4,4,7,1130,1113,1.5044247787610598,d53b7b2975703d6e832c85251fcc09aefa0bf83ed9237e926f95c9f7afcb1817
e32-3f764e57744e7b81b8111a40,23,Grover,0a54b71bfd47499f18a2421cd6bf97c15dc3f348b2d97f00df878dc6173f5324,8,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,5.7565629,5.7565629,4,4,7,1130,1113,1.5044247787610598,5513d0d3775fe99ae0e805feb24ce3a69dbbdcaee85ddbe4fc9aea80b142f229
e32-74f0db148ae4fc418fa1d3c7,24,HaarRandom,01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,4,LBL,COMMUTATION_ONLY,16,60.0,success,True,1.2214291,1.2214291,4,4,7,275,273,0.727272727272732,75a0a10cb106b870e10e1599a8a899724aa10e28e98dc48cbd0e4336920f8e85
e32-aefbb26a05c7df35ec9d7404,25,HaarRandom,01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,4,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.2372285,1.2372285,4,4,7,275,273,0.727272727272732,d420423f9dbbbde65138b3be67ae825e93c434adc7fc4c5b64297c83ad369d56
e32-1bc76c3e6bc9ede4b286c005,26,HaarRandom,01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,4,WCL,COMMUTATION_ONLY,16,60.0,success,True,1.3887496,1.3887496,4,4,7,275,273,0.727272727272732,4948ccf8ce4a8bbf39e739ea7f9541bf541b3a99e2759f5b294bd0d2e804c0fd
e32-9b9b7180c68d291721cd1461,27,HaarRandom,01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,4,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.4626953,1.4626953,4,4,7,275,273,0.727272727272732,449b8fdc9b4c5618ed717cb1fb233f11ae42a7ca7cb73c9351577b74422506cc
e32-e687f92593e2851fd5e81722,28,HaarRandom,01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,4,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,60.0,success,True,1.4603102,1.4603102,4,4,7,275,273,0.727272727272732,d963273fda7f2eef0431d192fee8c55c59df5d30b196b55aea4d129b619ab696
e32-095ac2954856a81ed1c044fa,29,HaarRandom,01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,4,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.2775018,1.2775018,4,4,7,275,273,0.727272727272732,af95139567e5ff047407ef6864c58e63ee049370b33546a6e0490ea99b307074
e32-f5b3e94f568c1c37f0cb1ff7,30,HardwareEfficient,146c3e821e8145d085eb90027904fa7f60f9de8430825fefc368f5c286fa991b,8,LBL,COMMUTATION_ONLY,16,60.0,success,True,1.3135224,1.3135224,4,4,6,46,46,0.0,41578e0b7b944f17474b715970dd65b0da29e5e32d79a3a192ab3613066f2333
e32-6bd350f75003c7d146a0a496,31,HardwareEfficient,146c3e821e8145d085eb90027904fa7f60f9de8430825fefc368f5c286fa991b,8,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.3695948,1.3695948,4,4,6,46,46,0.0,ddc62f64267d579636157f4029095d1d46fcd6cdc54f22c2203e197ab7312cba
e32-28507f342dee592642319d15,32,HardwareEfficient,146c3e821e8145d085eb90027904fa7f60f9de8430825fefc368f5c286fa991b,8,WCL,COMMUTATION_ONLY,16,60.0,success,True,1.3199724,1.3199724,4,4,6,46,46,0.0,b0fec02ffc0ee35ed407b6808890a849fd90feb3e2eb2719a415bea2bf1bb033
e32-431b08d47cb07e2da95405f3,33,HardwareEfficient,146c3e821e8145d085eb90027904fa7f60f9de8430825fefc368f5c286fa991b,8,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.4590586,1.4590586,4,4,6,46,46,0.0,3f8a17ff09e3a14e4d1c17924464077f53bd7c518803dcfe955f70ed1338c636
e32-9ff3ff15131f19a177405557,34,HardwareEfficient,146c3e821e8145d085eb90027904fa7f60f9de8430825fefc368f5c286fa991b,8,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,60.0,success,True,1.5574719,1.5574719,4,4,6,46,46,0.0,d6d88401d331f70c1f6719908ee268ea090e25050a487a07dc6b7160407c0ad7
e32-cad3975dac8f68157c9382fa,35,HardwareEfficient,146c3e821e8145d085eb90027904fa7f60f9de8430825fefc368f5c286fa991b,8,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.2840745,1.2840745,4,4,6,46,46,0.0,493785cbfc32a32978efdbebe5d74f6e861167960c6233a8995eed55361b9a60
e32-62983418c99c555e9d12b511,36,IQP,0ea94971bc42ea5f21350b8ee791f5ddd3a86cabd0502a4f2ecd331789793740,8,LBL,COMMUTATION_ONLY,16,60.0,success,True,1.2149038,1.2891896,4,5,8,45,28,37.77777777777778,816abbf2c91cd3032541779a6f72787ae11289239ad7cb39b16c224130cd924f
e32-9baa9175de0d5dea061f25ee,37,IQP,0ea94971bc42ea5f21350b8ee791f5ddd3a86cabd0502a4f2ecd331789793740,8,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.2507356,1.3218076,4,5,8,45,28,37.77777777777778,2fd9f3a461e00f9debf7c1737b304d1315837cccdf8b3ec5323d080cc4a336b2
e32-7e21ac3c5824cafa1b9afbb0,38,IQP,0ea94971bc42ea5f21350b8ee791f5ddd3a86cabd0502a4f2ecd331789793740,8,WCL,COMMUTATION_ONLY,16,60.0,success,True,1.263206,1.263206,4,4,7,45,28,37.77777777777778,f3d35450ec6382d9705774e23d88d5e1cf8dfbc6c476cc773797daae7a979e88
e32-c4da9af50d3d460b929c0696,39,IQP,0ea94971bc42ea5f21350b8ee791f5ddd3a86cabd0502a4f2ecd331789793740,8,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.4979611,1.4979611,4,4,7,45,28,37.77777777777778,55639cdc30138d3f19efc4a2ded122165ea3f977d2d87eba5724bb5eb101977e
