optimizer,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,experiment,circuit_family,n_qubits,depth,param_n,seed_index,seed,gate_count
greedy_phase1,21,21,0.0,0.9999999999999996,True,0.001003265380859375,E10_real_variance,QFT,6,11,6,1,142,21
commutation_phase2,21,21,0.0,0.9999999999999996,True,0.003586292266845703,E10_real_variance,QFT,6,11,6,1,142,21
hybrid_phase1_2,21,21,0.0,0.9999999999999996,True,0.024749040603637695,E10_real_variance,QFT,6,11,6,1,142,21
template_phase2b,21,21,0.0,0.9999999999999996,True,0.0030019283294677734,E10_real_variance,QFT,6,11,6,1,142,21
greedy_phase1,21,21,0.0,0.9999999999999996,True,0.0009992122650146484,E10_real_variance,QFT,6,11,6,2,242,21
commutation_phase2,21,21,0.0,0.9999999999999996,True,0.002914905548095703,E10_real_variance,QFT,6,11,6,2,242,21
hybrid_phase1_2,21,21,0.0,0.9999999999999996,True,0.02649855613708496,E10_real_variance,QFT,6,11,6,2,242,21
template_phase2b,21,21,0.0,0.9999999999999996,True,0.0030517578125,E10_real_variance,QFT,6,11,6,2,242,21
greedy_phase1,21,21,0.0,0.9999999999999996,True,0.0016002655029296875,E10_real_variance,QFT,6,11,6,3,342,21
commutation_phase2,21,21,0.0,0.9999999999999996,True,0.003031015396118164,E10_real_variance,QFT,6,11,6,3,342,21
hybrid_phase1_2,21,21,0.0,0.9999999999999996,True,0.02470231056213379,E10_real_variance,QFT,6,11,6,3,342,21
template_phase2b,21,21,0.0,0.9999999999999996,True,0.0029976367950439453,E10_real_variance,QFT,6,11,6,3,342,21
greedy_phase1,21,21,0.0,0.9999999999999996,True,0.0010042190551757812,E10_real_variance,QFT,6,11,6,4,442,21
commutation_phase2,21,21,0.0,0.9999999999999996,True,0.0030057430267333984,E10_real_variance,QFT,6,11,6,4,442,21
hybrid_phase1_2,21,21,0.0,0.9999999999999996,True,0.02747631072998047,E10_real_variance,QFT,6,11,6,4,442,21
template_phase2b,21,21,0.0,0.9999999999999996,True,0.0019996166229248047,E10_real_variance,QFT,6,11,6,4,442,21
greedy_phase1,28,28,0.0,0.9999999999999969,True,0.00099945068359375,E10_real_variance,QFT,7,13,7,0,42,28
commutation_phase2,28,28,0.0,0.9999999999999969,True,0.003999471664428711,E10_real_variance,QFT,7,13,7,0,42,28
hybrid_phase1_2,28,28,0.0,0.9999999999999969,True,0.052696943283081055,E10_real_variance,QFT,7,13,7,0,42,28
template_phase2b,28,28,0.0,0.9999999999999969,True,0.003081798553466797,E10_real_variance,QFT,7,13,7,0,42,28
