experiment,run_id,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial
E27_new_families,e27_full_20260721_040206,QPE,5,5,30,21,21,0.0,0.9999999999999982,exact,True,0.0029997825622558594,1,0
E27_new_families,e27_full_20260721_040206,QPE,5,5,30,21,21,0.0,0.9999999999999982,exact,True,0.0009949207305908203,2,1
E27_new_families,e27_full_20260721_040206,QPE,5,5,30,21,21,0.0,0.9999999999999982,exact,True,0.0020024776458740234,2,1
E27_new_families,e27_full_20260721_040206,QPE,5,5,30,21,21,0.0,0.9999999999999982,exact,True,0.0030410289764404297,2,1
E27_new_families,e27_full_20260721_040206,QPE,5,5,30,21,21,0.0,0.9999999999999957,exact,True,0.0015077590942382812,3,2
E27_new_families,e27_full_20260721_040206,QPE,5,5,30,21,21,0.0,0.9999999999999957,exact,True,0.0019965171813964844,3,2
E27_new_families,e27_full_20260721_040206,QPE,5,5,30,21,21,0.0,0.9999999999999957,exact,True,0.0019991397857666016,3,2
E27_new_families,e27_full_20260721_040206,QPE,6,6,10,38,38,0.0,0.9999999999999969,exact,True,0.0010006427764892578,1,0
E27_new_families,e27_full_20260721_040206,QPE,6,6,10,38,38,0.0,0.9999999999999969,exact,True,0.003998756408691406,1,0
E27_new_families,e27_full_20260721_040206,QPE,6,6,10,38,38,0.0,0.9999999999999969,exact,True,0.005002260208129883,1,0
E27_new_families,e27_full_20260721_040206,QPE,6,6,10,38,38,0.0,0.9999999999999978,exact,True,0.0021190643310546875,2,1
E27_new_families,e27_full_20260721_040206,QPE,6,6,10,38,38,0.0,0.9999999999999978,exact,True,0.005097389221191406,2,1
E27_new_families,e27_full_20260721_040206,QPE,6,6,10,38,38,0.0,0.9999999999999978,exact,True,0.005001068115234375,2,1
E27_new_families,e27_full_20260721_040206,QPE,6,6,10,38,38,0.0,0.9999999999999943,exact,True,0.0010027885437011719,3,2
E27_new_families,e27_full_20260721_040206,QPE,6,6,10,38,38,0.0,0.9999999999999943,exact,True,0.005905628204345703,3,2
E27_new_families,e27_full_20260721_040206,QPE,6,6,10,38,38,0.0,0.9999999999999943,exact,True,0.004990577697753906,3,2
E27_new_families,e27_full_20260721_040206,QPE,6,6,20,38,38,0.0,0.9999999999999969,exact,True,0.0010025501251220703,1,0
E27_new_families,e27_full_20260721_040206,QPE,6,6,20,38,38,0.0,0.9999999999999969,exact,True,0.0049817562103271484,1,0
E27_new_families,e27_full_20260721_040206,QPE,6,6,20,38,38,0.0,0.9999999999999969,exact,True,0.005913734436035156,1,0
E27_new_families,e27_full_20260721_040206,QPE,6,6,20,38,38,0.0,0.9999999999999978,exact,True,0.0020074844360351562,2,1
E27_new_families,e27_full_20260721_040206,QPE,6,6,20,38,38,0.0,0.9999999999999978,exact,True,0.0039942264556884766,2,1
E27_new_families,e27_full_20260721_040206,QPE,6,6,20,38,38,0.0,0.9999999999999978,exact,True,0.0049245357513427734,2,1
E27_new_families,e27_full_20260721_040206,QPE,6,6,20,38,38,0.0,0.9999999999999943,exact,True,0.0009987354278564453,3,2
E27_new_families,e27_full_20260721_040206,QPE,6,6,20,38,38,0.0,0.9999999999999943,exact,True,0.004088640213012695,3,2
E27_new_families,e27_full_20260721_040206,QPE,6,6,20,38,38,0.0,0.9999999999999943,exact,True,0.0040705204010009766,3,2
E27_new_families,e27_full_20260721_040206,QPE,6,6,30,38,38,0.0,0.9999999999999969,exact,True,0.001009225845336914,1,0
E27_new_families,e27_full_20260721_040206,QPE,6,6,30,38,38,0.0,0.9999999999999969,exact,True,0.006001472473144531,1,0
E27_new_families,e27_full_20260721_040206,QPE,6,6,30,38,38,0.0,0.9999999999999969,exact,True,0.0049898624420166016,1,0
E27_new_families,e27_full_20260721_040206,QPE,6,6,30,38,38,0.0,0.9999999999999978,exact,True,0.0009987354278564453,2,1
E27_new_families,e27_full_20260721_040206,QPE,6,6,30,38,38,0.0,0.9999999999999978,exact,True,0.0049974918365478516,2,1
E27_new_families,e27_full_20260721_040206,QPE,6,6,30,38,38,0.0,0.9999999999999978,exact,True,0.004997730255126953,2,1
E27_new_families,e27_full_20260721_040206,QPE,6,6,30,38,38,0.0,0.9999999999999943,exact,True,0.002003192901611328,3,2
E27_new_families,e27_full_20260721_040206,QPE,6,6,30,38,38,0.0,0.9999999999999943,exact,True,0.003991365432739258,3,2
E27_new_families,e27_full_20260721_040206,QPE,6,6,30,38,38,0.0,0.9999999999999943,exact,True,0.00498509407043457,3,2
E27_new_families,e27_full_20260721_040206,QPE,8,8,10,136,136,0.0,0.9999999999999969,exact,True,0.005918741226196289,1,0
E27_new_families,e27_full_20260721_040206,QPE,8,8,10,136,136,0.0,0.9999999999999969,exact,True,0.02008533477783203,1,0
E27_new_families,e27_full_20260721_040206,QPE,8,8,10,136,136,0.0,0.9999999999999969,exact,True,0.014365911483764648,1,0
E27_new_families,e27_full_20260721_040206,QPE,8,8,10,136,136,0.0,0.9999999999999925,exact,True,0.0059206485748291016,2,1
E27_new_families,e27_full_20260721_040206,QPE,8,8,10,136,136,0.0,0.9999999999999925,exact,True,0.01886916160583496,2,1
E27_new_families,e27_full_20260721_040206,QPE,8,8,10,136,136,0.0,0.9999999999999925,exact,True,0.01361846923828125,2,1
E27_new_families,e27_full_20260721_040206,QPE,8,8,10,136,136,0.0,0.9999999999999893,exact,True,0.007092475891113281,3,2
E27_new_families,e27_full_20260721_040206,QPE,8,8,10,136,136,0.0,0.9999999999999893,exact,True,0.019991397857666016,3,2
E27_new_families,e27_full_20260721_040206,QPE,8,8,10,136,136,0.0,0.9999999999999893,exact,True,0.015163183212280273,3,2
E27_new_families,e27_full_20260721_040206,QPE,8,8,20,136,136,0.0,0.9999999999999969,exact,True,0.005073070526123047,1,0
E27_new_families,e27_full_20260721_040206,QPE,8,8,20,136,136,0.0,0.9999999999999969,exact,True,0.020007848739624023,1,0
E27_new_families,e27_full_20260721_040206,QPE,8,8,20,136,136,0.0,0.9999999999999969,exact,True,0.014999628067016602,1,0
E27_new_families,e27_full_20260721_040206,QPE,8,8,20,136,136,0.0,0.9999999999999925,exact,True,0.006997346878051758,2,1
E27_new_families,e27_full_20260721_040206,QPE,8,8,20,136,136,0.0,0.9999999999999925,exact,True,0.02027440071105957,2,1
E27_new_families,e27_full_20260721_040206,QPE,8,8,20,136,136,0.0,0.9999999999999925,exact,True,0.01506948471069336,2,1
E27_new_families,e27_full_20260721_040206,QPE,8,8,20,136,136,0.0,0.9999999999999893,exact,True,0.004997730255126953,3,2
E27_new_families,e27_full_20260721_040206,QPE,8,8,20,136,136,0.0,0.9999999999999893,exact,True,0.01947784423828125,3,2
E27_new_families,e27_full_20260721_040206,QPE,8,8,20,136,136,0.0,0.9999999999999893,exact,True,0.014039754867553711,3,2
E27_new_families,e27_full_20260721_040206,QPE,8,8,30,136,136,0.0,0.9999999999999969,exact,True,0.00499272346496582,1,0
E27_new_families,e27_full_20260721_040206,QPE,8,8,30,136,136,0.0,0.9999999999999969,exact,True,0.02102041244506836,1,0
E27_new_families,e27_full_20260721_040206,QPE,8,8,30,136,136,0.0,0.9999999999999969,exact,True,0.0142364501953125,1,0
E27_new_families,e27_full_20260721_040206,QPE,8,8,30,136,136,0.0,0.9999999999999925,exact,True,0.004996776580810547,2,1
E27_new_families,e27_full_20260721_040206,QPE,8,8,30,136,136,0.0,0.9999999999999925,exact,True,0.02064681053161621,2,1
E27_new_families,e27_full_20260721_040206,QPE,8,8,30,136,136,0.0,0.9999999999999925,exact,True,0.017078399658203125,2,1
E27_new_families,e27_full_20260721_040206,QPE,8,8,30,136,136,0.0,0.9999999999999893,exact,True,0.0050182342529296875,3,2
E27_new_families,e27_full_20260721_040206,QPE,8,8,30,136,136,0.0,0.9999999999999893,exact,True,0.01917862892150879,3,2
E27_new_families,e27_full_20260721_040206,QPE,8,8,30,136,136,0.0,0.9999999999999893,exact,True,0.015000104904174805,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,10,3,3,0.0,0.9999999999999992,exact,True,0.001074075698852539,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,10,3,3,0.0,0.9999999999999992,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,10,3,3,0.0,0.9999999999999992,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,10,3,3,0.0,0.9999999999999996,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,10,3,3,0.0,0.9999999999999996,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,10,3,3,0.0,0.9999999999999996,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,10,3,3,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,10,3,3,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,10,3,3,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,20,6,6,0.0,0.9999999999999987,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,20,6,6,0.0,0.9999999999999987,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,20,6,6,0.0,0.9999999999999987,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,20,6,6,0.0,0.999999999999999,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,20,6,6,0.0,0.999999999999999,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,20,6,6,0.0,0.999999999999999,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,20,6,6,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,20,6,6,0.0,1.0,exact,True,0.0,3,2
