experiment,run_id,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.0020003318786621094,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.0020864009857177734,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.0019989013671875,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.001001119613647461,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.0019986629486083984,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.002008199691772461,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,5,5,10,21,21,0.0,0.9999999999999957,exact,True,0.002000093460083008,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,5,5,10,21,21,0.0,0.9999999999999957,exact,True,0.0029976367950439453,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,5,5,10,21,21,0.0,0.9999999999999957,exact,True,0.0019974708557128906,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,5,5,20,21,21,0.0,0.9999999999999982,exact,True,0.0009996891021728516,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,5,5,20,21,21,0.0,0.9999999999999982,exact,True,0.002916574478149414,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,5,5,20,21,21,0.0,0.9999999999999982,exact,True,0.001992464065551758,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,5,5,20,21,21,0.0,0.9999999999999982,exact,True,0.000993490219116211,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,5,5,20,21,21,0.0,0.9999999999999982,exact,True,0.0019071102142333984,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,5,5,20,21,21,0.0,0.9999999999999982,exact,True,0.0020003318786621094,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,5,5,20,21,21,0.0,0.9999999999999957,exact,True,0.0010008811950683594,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,5,5,20,21,21,0.0,0.9999999999999957,exact,True,0.003000497817993164,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,5,5,20,21,21,0.0,0.9999999999999957,exact,True,0.0029990673065185547,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,5,5,30,21,21,0.0,0.9999999999999982,exact,True,0.0009183883666992188,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,5,5,30,21,21,0.0,0.9999999999999982,exact,True,0.0029718875885009766,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,5,5,30,21,21,0.0,0.9999999999999982,exact,True,0.0030031204223632812,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,5,5,30,21,21,0.0,0.9999999999999982,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,5,5,30,21,21,0.0,0.9999999999999982,exact,True,0.001998424530029297,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,5,5,30,21,21,0.0,0.9999999999999982,exact,True,0.005017280578613281,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,5,5,30,21,21,0.0,0.9999999999999957,exact,True,0.0019104480743408203,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,5,5,30,21,21,0.0,0.9999999999999957,exact,True,0.0030012130737304688,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,5,5,30,21,21,0.0,0.9999999999999957,exact,True,0.0020020008087158203,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,6,6,10,38,38,0.0,0.9999999999999969,exact,True,0.003080129623413086,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,6,6,10,38,38,0.0,0.9999999999999969,exact,True,0.004973173141479492,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,6,6,10,38,38,0.0,0.9999999999999969,exact,True,0.007080793380737305,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,6,6,10,38,38,0.0,0.9999999999999978,exact,True,0.0020029544830322266,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,6,6,10,38,38,0.0,0.9999999999999978,exact,True,0.004907369613647461,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,6,6,10,38,38,0.0,0.9999999999999978,exact,True,0.003998756408691406,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,6,6,10,38,38,0.0,0.9999999999999943,exact,True,0.0009942054748535156,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,6,6,10,38,38,0.0,0.9999999999999943,exact,True,0.004619121551513672,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,6,6,10,38,38,0.0,0.9999999999999943,exact,True,0.005002260208129883,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,6,6,20,38,38,0.0,0.9999999999999969,exact,True,0.0021119117736816406,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,6,6,20,38,38,0.0,0.9999999999999969,exact,True,0.0049991607666015625,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,6,6,20,38,38,0.0,0.9999999999999969,exact,True,0.0049991607666015625,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,6,6,20,38,38,0.0,0.9999999999999978,exact,True,0.000997781753540039,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,6,6,20,38,38,0.0,0.9999999999999978,exact,True,0.004556894302368164,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,6,6,20,38,38,0.0,0.9999999999999978,exact,True,0.007218599319458008,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,6,6,20,38,38,0.0,0.9999999999999943,exact,True,0.002045869827270508,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,6,6,20,38,38,0.0,0.9999999999999943,exact,True,0.005089998245239258,3,2
