schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,n_qubits,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,fidelity,runtime_seconds,compiler,compiler_backend,compiler_opt_level,compiler_status,conversion_format,conversion_caveat,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.501330+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.0,0.0010023117065429688,custom,greedy_phase1,none,ok,,,145,4,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.504328+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.0,0.00099945068359375,custom,commutation_phase2,none,ok,,,145,4,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.507349+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.0,0.003020763397216797,custom,hybrid_phase1_2,none,ok,,,145,4,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.514868+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.000000000000001,0.0019996166229248047,qiskit,transpiler,0,ok,native,,145,4,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.523863+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.000000000000001,0.005001068115234375,qiskit,transpiler,1,ok,native,,145,4,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.535866+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.000000000000001,0.006967782974243164,qiskit,transpiler,2,ok,native,,145,4,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.547902+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.000000000000001,0.005991697311401367,qiskit,transpiler,3,ok,native,,145,4,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.563426+00:00,vqe_twolocal_3,VQE,3,22,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0009682178497314453,custom,greedy_phase1,none,ok,,,245,5,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.566426+00:00,vqe_twolocal_3,VQE,3,22,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0010995864868164062,custom,commutation_phase2,none,ok,,,245,5,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.570426+00:00,vqe_twolocal_3,VQE,3,22,22,0.0,0.0,0.0,0.0,0.0,1.0,0.004000663757324219,custom,hybrid_phase1_2,none,ok,,,245,5,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,
