input_circuit_sha256,circuit_id,circuit_family,successful_rows,unique_output_circuits
5f481c17ba4296b0a33c041b7470ec4748e61766c334712778a0ff41f81805da,haar_4,HaarRandom,54,6
5f5b6844177bd52e8c187fc996896ec6118d9e360e258d5f3707493673cae096,uccsd_4,UCCSD_inspired,54,3
600a25f9f932f78c6da4a944f24dd2405d8beeea9631fa80ab0ba450ccbf7277,bv_6,Oracle,54,5
60cbd40ccece385b0f47d6dbd5667c78d5709e2708b86620c809015e346ab443,haar_4,HaarRandom,53,6
6194c79c6876f931fd4dd2e105ee631824a9635fa4fec3f8ff6e7642655610e8,qwalk_7,QuantumWalk,29,9
6198918025e9d52620fa49da1e8fc24880b8cdf9ed5759f2b77490edd5060dc2,uccsd_4,UCCSD_inspired,54,3
621e78a0d5cbbcbb2a75d4d9755c646061565d0ead3e3cb962144cea9ad7496d,grover_8,Grover,54,6
632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,ghz_4,GHZ,54,1
65a4561aab303f3d2678d1f01adae25c9c9feed7706b20ba64b34673afc99bc5,clifford_4,RandomClifford,54,5
67ac65461d4b57621b92856148cbe19f65ec089efa10dd8e0ec245c21403aea1,uccsd_6,UCCSD_inspired,54,4
6844da2119d733a01e2a77eb368d455c86913e069a73316edac258bedf73a884,vqe_twolocal_6,VQE,54,2
688a54258c5fc58844911584b848f67ef97f01928a47184b30d01cdff70937e2,qaoa_line_8,QAOA,54,2
69dc9b7c80d923f7c782eeecca4e015e05ed1068495a29bd0e903ae9e481abbf,bv_3,Oracle,54,4
69fbd289de660bed2b78ee9f9d1cc83e5a306b8d5606c47a6ad36a8643ea1d45,qwalk_4,QuantumWalk,54,6
6a3bfdb78a913f36bec2d7b63d723fb999cfb365f557915f888a35b62c45de5f,clifford_4,RandomClifford,54,6
6a6cf0f00d85ece4ad64c271afdd08b4cd8473655919bce2bcfa5db0713a4a8f,bv_6,Oracle,54,6
6a973daf65bd418bdd08beaf9461e58945e15cfd7d372f99f1bfabdf665daccf,adder_8,Adder,54,3
6b06e5f02a79dad7060380635124093ca1f091f78aa2c79881017c4349543c35,qaoa_line_6,QAOA,54,2
6b50423744cf6c022eecde33a07e710ea071ad97745eda5ae14badb443b4a3d4,uccsd_4,UCCSD_inspired,54,3
6d3b95d34d14070b7343cb878e296c782e0bb8553754324f96aa3678075d10e1,uccsd_8,UCCSD_inspired,54,5
6f3c72445c6c7b4ac694c7b6dcacbe9c97681c8c27c6ab4fd6a32ec94a0d5a2e,hardware_eff_4,HardwareEfficient,53,3
6fb483683d8a22c1752bbd74856400a9e8dc76f6c7498dc4e96e958be1a4c939,hardware_eff_4,HardwareEfficient,54,3
701484a18ee7e28286cedd323ee9dc71b83cfa896d35865ca7cdab0545cc5b6a,adder_6,Adder,54,3
7052aff8dd4903f03c23a3ac996d18fe787bf1c0241facc9c524e5ea4facd903,surface_code_6,SurfaceCode,54,1
706c0447268ee506ac59afcbc771e7db4407d41470f6beb3af60fa431e739c66,qaoa_line_8,QAOA,54,2
7130c27a527965bb0f258cb842a9113fb05e3fbe44a5dfbedcb9b9003b5cc534,bv_7,Oracle,53,5
71d778addd8ccb7f497d5f93f4f8f4243fe3239acec2e394b798baf7763c879e,clifford_6,RandomClifford,54,7
74e97e3e91fec3c194d338dbf07fe463abbee30e6ec302a429dd67d4ec2a8b92,clifford_6,RandomClifford,54,6
