semantic_cell_id,input_circuit_sha256,listing_model,rule_set,window_gates,successful_budget_count,formal_success_rows_bound,qpy_sha256,declared_qubits,ancilla_qubits,active_qubits_static,logical_gate_count,logical_depth,multi_qubit_gate_count,two_qubit_gate_count,measurement_count,reset_count,swap_count,toffoli_ccz_count,logical_t_tdg_count,two_qubit_depth,logical_t_tdg_layer_depth,interaction_graph_pair_edges,interaction_graph_density,contains_non_clifford_t_operations
a297316b50acb696aee5f221fe85bb1e95a316e3d9e148dc4d07db5cd49dada2,2164019ee5e79f18f2d1ccc22ecf54065aa0ae6d801bbde583c7eea6b58de838,WCL,COMMUTATION_ONLY,16,3,3,e70ebb1586d20bdb3a5b2618bf3c61299ed7527022e4895612acfbfd2ac228d8,10,0,10,18,10,15,6,0,0,0,9,0,2,0,18,0.4,True
a29a1e46e6655af55f9b3a39afd4fb4e45edb6ae2e10041723205a10bcdf2025,1db722a4ab864b09920242db5924585ffb2e655a8900901ff640e894a1a58a2d,WCL,COMMUTATION_PLUS_TEMPLATES,4,3,3,891aa55b04d8f764c10c5c2c5a3ea7d7e5fa3ab72ea395cf350cff53eb7ca535,6,0,6,7,7,5,5,0,0,0,0,0,5,0,5,0.3333333333333333,False
a29ac1b7033aa9562d2aee2d11de441b38bf45377999fd8b3540f9eb7f2cd5df,b866fb4b41003a7d731ad7258462101c103a99bb9ec5d149206b154bb5a479bf,LBL,COMMUTATION_PLUS_TEMPLATES,4,3,3,2753e2a3db089d0cd0e1164de2e88af4fbb2c6d1794ff38d8e1935cbfa31b24d,9,0,9,11,10,8,8,0,0,0,0,0,8,0,8,0.2222222222222222,False
a2b90e60a93ea8bf2f459401619bb560ad87a9fc72394be22b1ae2bc97fed382,5d1c48263acc18a36d062c98661594cfac7e4418c02437f7200168f655d79429,LBL,COMMUTATION_PLUS_TEMPLATES,64,3,3,379c2a93a44cad761d3406fda17ed597d7dc6ab5d93a42b4670459e949416a52,8,0,6,7,7,5,5,0,0,0,0,0,5,0,5,0.17857142857142858,False
a2bf51548d85a2695722c8d79af35c6ec71f1a6ce39142cced687c32df4061c7,1c82b236ba06c15d01c63ef7f002938983d64d0466097126e6dd69be4a8ec39b,WCL,COMMUTATION_ONLY,4,3,3,6f4da9cbea252fc7fba4f2b12e5a43000a5eefbd981bbba025bba85b19dbda59,9,0,9,10,10,8,8,0,0,0,0,0,8,0,8,0.2222222222222222,False
a2dcf742ac9a1f3ff49f55955be6582983d8fe487977e41be920579349565458,13240229abe2d895d5bb8fac7699ccee2bd1c05a0deabd9eec9a4d3087670510,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,4,3,3,3c46d18f29d6c15caa6073b5dba8dd7574c8315784cdffb1142edf161587547f,7,0,7,3781,2615,1590,1584,0,0,0,6,763,1242,475,21,1.0,True
a2df4db4dc973b5540aa60e3005b1cae9585ef4392c3844de047d79b1562482f,cc5fe9a32e955a3c62cf12c58fdd8fe6ea17b2a383a2d9c22c7b0c1576080d57,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,3,3,4ce43f34fc574c670d25c15b3588b92c656f8a692579ac7d3c399f47e7684590,7,0,6,7,7,5,5,0,0,0,0,0,5,0,5,0.23809523809523808,False
a2e5b445cdfb993b702f73d72daa3639db5e70206e48d1953312e65f062d22d0,e5bbbd1f18635ae8322525fdc27639ee5570adb4ddc5f530d7a8cb95f2790501,LBL,COMMUTATION_PLUS_TEMPLATES,4,3,3,5a4f987b9e334debcfb88894d643f5480197cb01684a1296f64fbb70a98bc69c,9,0,9,24,8,4,4,0,0,0,0,0,4,0,4,0.1111111111111111,False
a2eb2474229f43d322d748b4e773ccf45e46d4c1e4cf1cf0fcf47b1f3e845c8f,3e0c8afaa2c7ac511c66cdc6f54a4f59ecec9d97e00b3f1ed0997592613b2ff4,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,4,3,3,215dc7deb923b5cfa97dbaa5a9604ed6a772e84212aea3938c8258d7f04b5d0a,8,0,8,62,15,14,14,0,0,0,0,0,9,0,7,0.25,True
a2f9510e4d7f6fb74a04fc9cf78c3cb35a31ae0c224a538c80aa11d456ebece8,f9d16c2d718e8feb24e5f21b7bc25db092d80ca773e1eeec21eebaf6cdf07b81,WCL,COMMUTATION_ONLY,64,3,3,fa0206a76961f85e8a67398d61681cca411442546d6280a81723bae5f219788b,9,0,4,13,7,3,3,0,0,0,0,0,3,0,3,0.08333333333333333,False
a2feb15b802641f3c85a08aa2f1afb8840a3ede03e36b44dbb6a1167c003be9c,c4a720840c00df3b0c2ea7000f573447922240d5d236a8c5747e3c48a1fb6259,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,3,3,e7841a360607d13a1b9afd9926c783485ed3323479d0f66ec702db3494a35238,6,0,6,1774,1307,756,750,0,0,0,6,426,642,282,15,1.0,True
a301f8a6bf428397ef223958bfa7c2df9b8974744b38d92db00a3df3e8a4835a,834aeb4ed3be004b7a0b3e681d43de66de6de8f35a5e9fb1bfa818d7b959284b,WCL,COMMUTATION_ONLY,4,3,3,9da903810c387f8ab08bc166b9e1d629f797b8d29af49b6bcbb486a49d5a3427,8,0,8,62,15,14,14,0,0,0,0,0,9,0,7,0.25,True
a304a634cd4049ac37e4edd99007cbf384fc8c54a7e58d68a952d84de5b7f6b7,90b9d6a98141cc942d3ded30a930bd0e1d014a4a74273b8ac4367eda1522afc9,LBL,COMMUTATION_PLUS_TEMPLATES,16,3,3,6ddafa4c68fa85f467c4bcf48a69cda65a8c95e1aa5dd5f09cbfb1aff36f8659,6,0,6,1774,1307,756,750,0,0,0,6,426,642,282,15,1.0,True
a320f119144b6b39ef4374807039802cc7312b918ace055d51690d82bbabad34,3d81f170b70b37bcf04340d03252bc648978848cc80013b68533b757c45bbf0b,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,64,3,3,ab54d572aa0a0545c90f7968cb7acda1d68f0da23eca5716c83f6c4506bde7ca,6,0,6,1750,1307,756,750,0,0,0,6,382,642,282,15,1.0,True
a3257415a6a38a74ec0ace038dbca8e84bcb788f7e96562ce00423a9eb1a36c6,83c7c3f2143beb462726dd5669eb691fae0cabe693debd1cd6c9926ec8aac05b,WCL,COMMUTATION_PLUS_TEMPLATES,4,3,3,3a55557a09cae364d8febecbadce0a879016116c241bfc9e26968ac457e91799,6,0,6,20,7,4,4,0,0,0,0,0,3,0,2,0.13333333333333333,False
a32c2301c0958e1251d32f0af050d232c10edeec101662d9ad325ddc158582e1,1db722a4ab864b09920242db5924585ffb2e655a8900901ff640e894a1a58a2d,WCL,COMMUTATION_PLUS_TEMPLATES,64,3,3,891aa55b04d8f764c10c5c2c5a3ea7d7e5fa3ab72ea395cf350cff53eb7ca535,6,0,6,7,7,5,5,0,0,0,0,0,5,0,5,0.3333333333333333,False
a330df2c2757d7c8abf2a098fae47890fa4b208259945e3b8294866fed0e1b49,15085463bb9acfc3d3c2fcc7416945689cf8dbdf38ee63960843c17c716d519e,WCL,COMMUTATION_PLUS_TEMPLATES,64,3,3,17eddd0b959a7840a29c439eabaf34d5759fc776e7731c8e4d99d4b729027a4b,9,0,9,13,10,8,8,0,0,0,0,0,8,0,8,0.2222222222222222,False
a33a7c84551ffbafbd3e9a43e0afc44e9d4c09071c9db14f5f533f5d6f6e8a62,7de15138171180eddd35e0f29e3e3ce11f0b20302daab2bc45c5be3302e9cf4d,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,4,3,3,29d5281f5f5b7533779649cc1f1261a438fb91d235a1d28dbb0163ded26f4821,5,0,5,7,6,4,4,0,0,0,0,0,4,0,4,0.4,False
a340217e73b9714173547672dc5fac62e7d920f0c50f94bd39e677b9830d7ef1,4cb477caf5f46aa76b3f54b03574649768b408906ee78ac4652943020cb7be7c,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,3,3,e777ea4dfa3a65963a04b572771576c4e51b58cc728bc6b5fb1a1559748101cb,8,0,8,62,15,14,14,0,0,0,0,0,9,0,7,0.25,True
a360cdc4f455953b22576152c013736cf866ba0a4141af542d437bea0cbc255d,0080a63f816f580541538093d5448ae336ed333ac6933bc71da115de0011b707,WCL,COMMUTATION_ONLY,16,3,3,a4c6fff2ac6c0e6388404301296a60a2299e83eb33d20be9aacdd389f3cf3565,8,0,8,66,30,28,28,0,0,0,0,0,18,0,7,0.25,True
a3695637dea3d3f15d1d764a0ebae5bd33beb333d15b4e5729c650ae6f79a7ff,71d778addd8ccb7f497d5f93f4f8f4243fe3239acec2e394b798baf7763c879e,WCL,COMMUTATION_ONLY,64,3,3,9adcf23c38afc79c19164acb40fd431e45c97f1572ac597e05682d532e6f2468,6,0,6,21,7,6,6,0,0,0,0,0,4,0,3,0.2,False
a37187b0ce931ea877b10a948d80d0851d89b22b7cd1352705442ada30146150,f88dd26fe808edabf53419e020b87e3b4a517886def363d693787b3bc9728cf8,WCL,COMMUTATION_PLUS_TEMPLATES,64,3,3,a0cee53e523412e94b1db00d4d28b66abb06d65cb2c1dd57c941c79a8a115c5d,6,0,6,1750,1307,756,750,0,0,0,6,384,642,282,15,1.0,True
a371ad0c59f2109fb4bf4c3582b87880cadb58115718a7ddf48d5c7623decd76,329b15531e8ae55e3c8668f2b78d9dbb4532f68f6c3aa4cb36f07012787c1a07,WCL,COMMUTATION_PLUS_TEMPLATES,64,3,3,d5cd3bde057ecaf88dd0fe73c53c20b53a6f45aa2f13d702100d24187e55852b,4,0,4,22,8,6,6,0,0,0,0,0,4,0,3,0.5,True
a37888497278ff28559127f949db0fb512962e7a5cc1cbcb8e352f97b73d2e73,ecdc88be58bf549d56d32e78bd4bc92867b980440b9b1b2d29c6a6a0c98bcfe2,WCL,COMMUTATION_ONLY,16,3,3,5d11b3139954563afae0d149191f590dad7badb677c720f2962474de082285c5,4,0,4,26,15,14,14,0,0,0,0,0,9,0,5,0.8333333333333334,True
