schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,circuit_type,n_qubits,gate_set,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,t_count_reduction,baseline_t_count,optimized_t_count,fidelity,success,runtime_seconds,optimizer,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes,status,error_message,error_type
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.404103+00:00,clifford_3,RandomClifford,random_clifford,3,clifford_t,25,23,0.0799999999999999,7.9999999999999964,0.0,0.0,0.0,0.0,0,0,1.0,True,0.0094356536865234,commutation_phase2,845,11,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,1770f366bb6f8e3d4b616e53ce190ff9d1cac1b5f5c180a3f7902b0bf9cdeb58,38ddb3dc5c294142139014b8cdb7785e9ba77788be84c3b5f5019f68283fdf1e,"Random Clifford, depth=10",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.404103+00:00,clifford_3,RandomClifford,random_clifford,3,clifford_t,25,15,0.4,40.0,0.3333333333333333,0.5,0.5,0.0,0,0,1.0,True,0.0,hybrid_phase1_2,845,11,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,1770f366bb6f8e3d4b616e53ce190ff9d1cac1b5f5c180a3f7902b0bf9cdeb58,d0090de2fa402f14169c4b60268831993c2cd688b1cedd8f564e1a7e8a9ca9df,"Random Clifford, depth=10",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.418129+00:00,surface_code_3,SurfaceCode,surface_code,5,clifford_t,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,True,0.0,greedy_phase1,945,12,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,98123c419282ef8d7ead755526545f8d1b8e6129c506a92b5eb114e588eb0ab3,98123c419282ef8d7ead755526545f8d1b8e6129c506a92b5eb114e588eb0ab3,X-stabilizer syndrome extraction,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.418129+00:00,surface_code_3,SurfaceCode,surface_code,5,clifford_t,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,True,0.0,commutation_phase2,945,12,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,98123c419282ef8d7ead755526545f8d1b8e6129c506a92b5eb114e588eb0ab3,98123c419282ef8d7ead755526545f8d1b8e6129c506a92b5eb114e588eb0ab3,X-stabilizer syndrome extraction,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.418129+00:00,surface_code_3,SurfaceCode,surface_code,5,clifford_t,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,True,0.0,hybrid_phase1_2,945,12,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,98123c419282ef8d7ead755526545f8d1b8e6129c506a92b5eb114e588eb0ab3,98123c419282ef8d7ead755526545f8d1b8e6129c506a92b5eb114e588eb0ab3,X-stabilizer syndrome extraction,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.714778+00:00,uccsd_3,UCCSD_inspired,uccsd_inspired_ansatz,3,clifford_t,1290,1280,0.0077519379844961,0.7751937984496138,0.0091324200913242,0.0,0.0,0.0,508,508,0.9999999999997556,True,0.1758673191070556,greedy_phase1,1045,13,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,7060ffa816438f17aee269651cf06364c66e16383724ebae81fd714259b2133c,7cbc854b9cd0153b6377d6c28917cae18647a86910414e040a6e606b764562d9,Parameterized ansatz INSPIRED BY (not true) UCCSD; see make_parameterized_ansatz docstring. Renamed from 'UCCSD' to 'UCCSD_inspired' per review L3 to avoid false claim.,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.766357+00:00,uccsd_3,UCCSD_inspired,uccsd_inspired_ansatz,3,clifford_t,1290,1290,0.0,0.0,0.0,0.0,0.0,0.0,508,508,1.0,True,0.0443496704101562,commutation_phase2,1045,13,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,7060ffa816438f17aee269651cf06364c66e16383724ebae81fd714259b2133c,7060ffa816438f17aee269651cf06364c66e16383724ebae81fd714259b2133c,Parameterized ansatz INSPIRED BY (not true) UCCSD; see make_parameterized_ansatz docstring. Renamed from 'UCCSD' to 'UCCSD_inspired' per review L3 to avoid false claim.,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:47.049557+00:00,uccsd_3,UCCSD_inspired,uccsd_inspired_ansatz,3,clifford_t,1290,1276,0.0108527131782946,1.0852713178294615,0.0091324200913242,0.0,0.0,0.0,508,508,0.9999999999997556,True,0.2742674350738525,hybrid_phase1_2,1045,13,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,7060ffa816438f17aee269651cf06364c66e16383724ebae81fd714259b2133c,c875d8635714d215fd0c20bdbc75554eff0a35931203826cf9c1f9bada0f2734,Parameterized ansatz INSPIRED BY (not true) UCCSD; see make_parameterized_ansatz docstring. Renamed from 'UCCSD' to 'UCCSD_inspired' per review L3 to avoid false claim.,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:47.151389+00:00,ghz_4,GHZ,ghz,4,clifford_t,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,True,0.0,greedy_phase1,42,15,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:47.151389+00:00,ghz_4,GHZ,ghz,4,clifford_t,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,True,0.0,commutation_phase2,42,15,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,,ok,,
