config_id,beam_width,candidate_cap,left_out_family,left_out_input_count,loo_mean_effect_pp,complete_mean_effect_pp,median_cgl_total_seconds
b1_c256,1,256,Oracle,340,1.4816602966387138,1.2884002579467075,0.001942599999892991
b1_c256,1,256,QAOA,361,1.3954695314602843,1.2884002579467075,0.001942599999892991
b1_c256,1,256,QFT,388,1.298362115611244,1.2884002579467075,0.001942599999892991
b1_c256,1,256,QuantumWalk,331,1.5219471324989808,1.2884002579467075,0.001942599999892991
b1_c256,1,256,RandomClifford,361,1.306447514006707,1.2884002579467075,0.001942599999892991
b1_c256,1,256,SurfaceCode,358,1.4071634102155381,1.2884002579467075,0.001942599999892991
b1_c256,1,256,UCCSD_inspired,361,1.3954695314602843,1.2884002579467075,0.001942599999892991
b1_c256,1,256,VQE,361,1.3954695314602843,1.2884002579467075,0.001942599999892991
b8_c256,8,256,Adder,370,1.3615256779923315,1.2884002579467075,0.001927199999045115
b8_c256,8,256,CNOT,388,1.298362115611244,1.2884002579467075,0.001927199999045115
b8_c256,8,256,GHZ,388,1.298362115611244,1.2884002579467075,0.001927199999045115
b8_c256,8,256,Grover,364,1.3839684089482491,1.2884002579467075,0.001927199999045115
b8_c256,8,256,HaarRandom,381,1.2935837531445453,1.2884002579467075,0.001927199999045115
b8_c256,8,256,HardwareEfficient,361,1.3954695314602843,1.2884002579467075,0.001927199999045115
b8_c256,8,256,IQP,361,0.11924110584441075,1.2884002579467075,0.001927199999045115
b8_c256,8,256,Oracle,340,1.4816602966387138,1.2884002579467075,0.001927199999045115
b8_c256,8,256,QAOA,361,1.3954695314602843,1.2884002579467075,0.001927199999045115
b8_c256,8,256,QFT,388,1.298362115611244,1.2884002579467075,0.001927199999045115
b8_c256,8,256,QuantumWalk,331,1.5219471324989808,1.2884002579467075,0.001927199999045115
b8_c256,8,256,RandomClifford,361,1.306447514006707,1.2884002579467075,0.001927199999045115
b8_c256,8,256,SurfaceCode,358,1.4071634102155381,1.2884002579467075,0.001927199999045115
b8_c256,8,256,UCCSD_inspired,361,1.3954695314602843,1.2884002579467075,0.001927199999045115
b8_c256,8,256,VQE,361,1.3954695314602843,1.2884002579467075,0.001927199999045115
b32_c256,32,256,Adder,370,1.3615256779923315,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,CNOT,388,1.298362115611244,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,GHZ,388,1.298362115611244,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,Grover,364,1.3839684089482491,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,HaarRandom,381,1.2935837531445453,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,HardwareEfficient,361,1.3954695314602843,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,IQP,361,0.11924110584441075,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,Oracle,340,1.4816602966387138,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,QAOA,361,1.3954695314602843,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,QFT,388,1.298362115611244,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,QuantumWalk,331,1.5219471324989808,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,RandomClifford,361,1.306447514006707,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,SurfaceCode,358,1.4071634102155381,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,UCCSD_inspired,361,1.3954695314602843,1.2884002579467075,0.0019133999994664919
b32_c256,32,256,VQE,361,1.3954695314602843,1.2884002579467075,0.0019133999994664919
