schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,n_qubits,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,fidelity,runtime_seconds,compiler,compiler_backend,compiler_opt_level,compiler_status,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.633375+00:00,cnot_chain_3,CNOT,3,16,0,1.0,100.0,1.0,1.0,1.0,1.0,0.012324333190917969,qiskit,transpiler,3,ok,42,2,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.640990+00:00,bv_3,Oracle,4,12,12,0.0,0.0,0.0,0.0,0.0,0.9999999999999974,0.0035123825073242188,custom,greedy_phase1,none,ok,45,3,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.645990+00:00,bv_3,Oracle,4,12,10,0.16666666666666663,16.666666666666664,0.0,0.0,0.0,0.9999999999999979,0.003998517990112305,custom,commutation_phase2,none,ok,45,3,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,060da1187b344c94fb6c3b6204ca7abdb676b30ab29942aba81ee6d150fd8568,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.662436+00:00,bv_3,Oracle,4,12,10,0.16666666666666663,16.666666666666664,0.0,0.0,0.0,0.9999999999999979,0.01462244987487793,custom,hybrid_phase1_2,none,ok,45,3,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,060da1187b344c94fb6c3b6204ca7abdb676b30ab29942aba81ee6d150fd8568,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.669158+00:00,bv_3,Oracle,4,12,12,0.0,0.0,0.0,0.0,0.0,0.9999999999999974,0.0040056705474853516,qiskit,transpiler,0,ok,45,3,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,0206731818e4f86ff942f8d2ef89eaebd104569c0850cb9a923dd3bdd885c8a2,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.681299+00:00,bv_3,Oracle,4,12,8,0.33333333333333337,33.333333333333336,0.33333333333333337,0.0,0.0,0.9999999999999979,0.008507966995239258,qiskit,transpiler,1,ok,45,3,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,e8b5518512be3903d2d30e0f6c146fde952b3d2dace601dc76038efdff5172b5,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.698345+00:00,bv_3,Oracle,4,12,8,0.33333333333333337,33.333333333333336,0.33333333333333337,0.0,0.0,0.9999999999999979,0.013434886932373047,qiskit,transpiler,2,ok,45,3,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,e8b5518512be3903d2d30e0f6c146fde952b3d2dace601dc76038efdff5172b5,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.716290+00:00,bv_3,Oracle,4,12,8,0.33333333333333337,33.333333333333336,0.33333333333333337,0.0,0.0,0.9999999999999979,0.013266563415527344,qiskit,transpiler,3,ok,45,3,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,e8b5518512be3903d2d30e0f6c146fde952b3d2dace601dc76038efdff5172b5,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.725228+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.000000000000001,0.005846500396728516,custom,greedy_phase1,none,ok,145,4,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.735842+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.000000000000001,0.009006023406982422,custom,commutation_phase2,none,ok,145,4,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
