optimizer,seed_base,n,mean_reduction,std_reduction,median_reduction,min_reduction,max_reduction,bootstrap_ci_lo,bootstrap_ci_hi,per_seed_mean_std,per_seed_mean_range
ga,42,100,-0.08506666666666667,0.028538984304636583,-0.08000000000000007,-0.15999999999999992,-0.026666666666666616,-0.09040000000000001,-0.07973333333333332,,
ga,142,100,-0.08506666666666667,0.028031087440111877,-0.08000000000000007,-0.15999999999999992,-0.026666666666666616,-0.09066666666666665,-0.07972666666666667,,
ga,242,100,-0.08586666666666666,0.03206726936160553,-0.08000000000000007,-0.15999999999999992,0.026666666666666616,-0.09174000000000004,-0.07973333333333332,,
ga,342,100,-0.08146666666666666,0.030902329755009072,-0.08000000000000007,-0.15999999999999992,0.013333333333333308,-0.08746666666666666,-0.07519666666666666,,
ga,442,100,-0.08026666666666667,0.03061538678456596,-0.08000000000000007,-0.15999999999999992,0.013333333333333308,-0.08600000000000002,-0.07426333333333335,,
ga,542,100,-0.08253333333333333,0.029523412307837026,-0.08000000000000007,-0.18666666666666676,-0.026666666666666616,-0.08879999999999999,-0.07693333333333333,,
ga,642,100,-0.07999999999999996,0.0317113808005634,-0.08000000000000007,-0.15999999999999992,-0.026666666666666616,-0.08666666666666664,-0.07386666666666664,,
ga,742,100,-0.08346666666666666,0.03140524736870517,-0.08000000000000007,-0.15999999999999992,-0.026666666666666616,-0.08986666666666665,-0.0776,,
ga,842,100,-0.08026666666666667,0.03227157488339463,-0.08000000000000007,-0.18666666666666676,-0.026666666666666616,-0.08666666666666668,-0.07413333333333331,,
ga,942,100,-0.0768,0.033907247883524755,-0.08000000000000007,-0.15999999999999992,0.013333333333333308,-0.08360000000000001,-0.07026333333333333,,
ga,POOLED,1000,-0.08208,0.030923685400728176,-0.08000000000000007,-0.18666666666666676,0.026666666666666616,-0.08398666666666667,-0.080133,0.0027104407185712266,0.009066666666666667
