experiment_id,mode,n_qubits,depth,seed_index,seed_base,trial,seed,optimizer,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version,file_sha256,git_commit
E29_multi_seed_e04,full,5,15,0,42,6,48,sa,75,1.638101745759434,0.9360581404339623,75,89,-0.18666666666666676,0.9999999999999961,True,2.3224029541015625,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,6,48,ga,75,1.638101745759434,0.9360581404339623,75,81,-0.08000000000000007,0.9999999999999961,True,5.499760389328003,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,7,49,hybrid,75,0.937657643469487,0.5358043676968497,75,69,0.07999999999999996,0.9999999999999963,True,0.06800532341003418,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,7,49,rls,75,0.937657643469487,0.5358043676968497,75,215,-1.8666666666666667,0.9999999999999916,True,15.879141330718994,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,7,49,sa,75,0.937657643469487,0.5358043676968497,75,81,-0.08000000000000007,0.9999999999999959,True,2.481501817703247,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,7,49,ga,75,0.937657643469487,0.5358043676968497,75,81,-0.08000000000000007,0.9999999999999957,True,7.15477991104126,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,8,50,hybrid,75,1.5933364667074073,0.9104779809756612,75,71,0.053333333333333344,0.9999999999999954,True,0.07508373260498047,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,8,50,rls,75,1.5933364667074073,0.9104779809756612,75,207,-1.7599999999999998,0.9999999999999901,True,16.500669717788696,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,8,50,sa,75,1.5933364667074073,0.9104779809756612,75,103,-0.3733333333333333,0.9999999999999931,True,2.5303990840911865,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,8,50,ga,75,1.5933364667074073,0.9104779809756612,75,77,-0.026666666666666616,0.9999999999999947,True,7.112715005874634,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
