coefficient,equal_family_estimate_pp,family_cluster_se_pp,family_cluster_df,t14_ci95_low_pp,t14_ci95_high_pp,t14_p_value_model_based,wild_cluster_bootstrap_t_p_value,wild_cluster_bootstrap_replicates,wild_cluster_bootstrap_seed,inference_role,confirmatory_claim_allowed,probability_sample_of_families,unseen_family_generalization_status,multiplicity_family_id,multiplicity_family_size,holm_adjusted_t14_p,holm_adjusted_wild_cluster_p
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.10],-0.37479965769066864,0.29014636839949615,14,-0.9971017261813486,0.24750241080001129,0.21735877431237607,0.43225,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.30],-0.3877170560656069,0.28895960218465006,14,-1.0074737641770155,0.23203965204580157,0.2010295366308433,0.3732,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.120],-0.37510836041343304,0.2898522615239095,14,-0.99677963239253,0.24656291156566384,0.21655971407228813,0.4959,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.10],0.19985717148450266,0.31615393917882156,14,-0.47822558859873177,0.8779399315677371,0.5374753306766356,0.75005,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.30],0.09872856974784973,0.21199808005624782,14,-0.35596209022073766,0.5534192297164371,0.648588935836004,0.62735,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.120],0.20818010115574695,0.31565252739567534,14,-0.4688272376098307,0.8851874399213245,0.520262267176099,0.75005,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(window_gates)[T.16]:C(budget_seconds)[T.10],-5.9271332434063675,2.771517768295947,14,-11.871447658172745,0.017181171360010516,0.050580028978349574,0.1237,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(window_gates)[T.16]:C(budget_seconds)[T.30],-5.923949436025447,2.7720174987148103,14,-11.869335665941751,0.021436793890855732,0.0507245279861474,0.1237,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(window_gates)[T.16]:C(budget_seconds)[T.120],-5.936558131677621,2.7700593594238496,14,-11.877744570509584,0.0046283071543431475,0.05015572057775949,0.1237,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(window_gates)[T.64]:C(budget_seconds)[T.10],-6.391990454297869,3.05176440062018,14,-12.937374115406811,0.1533932068110735,0.054886284240648446,0.03095,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
