schema_version,experiment_id,run_id,circuit_id,circuit_family,n_qubits,optimizer,status,timestamp_utc,circuit_type,gate_set,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,t_count_reduction,baseline_t_count,optimized_t_count,fidelity,success,runtime_seconds,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes,mechanism,failed,correction_method,imputed_draw,imputation_source
2.0.0,E18,e18_full_20260610_052140,adder_4,Adder,4,hybrid_phase1_2,ok,2026-06-10T05:21:43.504837+00:00,quantum_adder,clifford_t,17.0,15.0,0.1176470588235294,11.764705882352944,0.1666666666666666,0.2857142857142857,0.2857142857142857,0.0,7.0,7.0,0.9999999999999984,True,0.0193562507629394,546.0,22.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,d9414ec3b6e9092d33c5058f4dfc37d7f490c6607a5829f2d6305bf7bcb8890f,04ab034c063698f3fc19b82049007e50c0d8bfb082dfe59f1b4249b9f9fe93cd,"Ripple-carry adder, random inputs",valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,qwalk_4,QuantumWalk,5,none,"decompose_error: ""Unable to translate the operations in the circuit: ['h', 'x', 'ry', 'cx', 'ccx'] to the backend's (or manually specified) target basis: ['if_else', 'while_loop', 'delay', 's', 'store', 'for_loop', 'x', 'h', 'sdg', 'cx', 'measure', 'snapshot', 'y', 't', 'switch_case', 'z', 'reset', 'barrier', 'tdg']. This likely means the target basis is not universal or there are additional equivalence rules needed in the EquivalenceLibrary being used. For more details on this error see: https://docs.quantum.ibm.com/api/qiskit/qiskit.transpiler.passes.BasisTranslator#translation-errors""",,,,,,,,,,,,,,,,,,,,,,,,decompose_error,True,gate_type_itt_zero,,
2.0.0,E18,e18_full_20260610_052140,iqp_4,IQP,4,none,"decompose_error: ""Unable to translate the operations in the circuit: ['rz', 'h'] to the backend's (or manually specified) target basis: ['if_else', 'while_loop', 'delay', 's', 'store', 'for_loop', 'x', 'h', 'sdg', 'cx', 'measure', 'snapshot', 'y', 't', 'switch_case', 'z', 'reset', 'barrier', 'tdg']. This likely means the target basis is not universal or there are additional equivalence rules needed in the EquivalenceLibrary being used. For more details on this error see: https://docs.quantum.ibm.com/api/qiskit/qiskit.transpiler.passes.BasisTranslator#translation-errors""",,,,,,,,,,,,,,,,,,,,,,,,decompose_error,True,gate_type_itt_zero,,
2.0.0,E18,e18_full_20260610_052140,clifford_4,RandomClifford,4,greedy_phase1,ok,2026-06-10T05:21:43.527784+00:00,random_clifford,clifford_t,28.0,26.0,0.0714285714285714,7.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999968,True,0.006704568862915,846.0,25.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,0ad1e1bc9bfe68bbbe6a004c6d0e0216322c792a44e178fa29fdd38ad9da2943,9bb4303de17b45d1808ae1964c0d5582fabe324f10bab8461f4d592feb0cd713,"Random Clifford, depth=10",valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,clifford_4,RandomClifford,4,commutation_phase2,ok,2026-06-10T05:21:43.537719+00:00,random_clifford,clifford_t,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999968,False,0.0075194835662841,846.0,25.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,0ad1e1bc9bfe68bbbe6a004c6d0e0216322c792a44e178fa29fdd38ad9da2943,0ad1e1bc9bfe68bbbe6a004c6d0e0216322c792a44e178fa29fdd38ad9da2943,"Random Clifford, depth=10",valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,clifford_4,RandomClifford,4,hybrid_phase1_2,ok,2026-06-10T05:21:43.568522+00:00,random_clifford,clifford_t,28.0,26.0,0.0714285714285714,7.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999968,True,0.0288031101226806,846.0,25.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,0ad1e1bc9bfe68bbbe6a004c6d0e0216322c792a44e178fa29fdd38ad9da2943,9bb4303de17b45d1808ae1964c0d5582fabe324f10bab8461f4d592feb0cd713,"Random Clifford, depth=10",valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,surface_code_4,SurfaceCode,5,greedy_phase1,ok,2026-06-10T05:21:43.576678+00:00,surface_code,clifford_t,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,False,0.0027132034301757,946.0,26.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,7de15138171180eddd35e0f29e3e3ce11f0b20302daab2bc45c5be3302e9cf4d,7de15138171180eddd35e0f29e3e3ce11f0b20302daab2bc45c5be3302e9cf4d,X-stabilizer syndrome extraction,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,surface_code_4,SurfaceCode,5,commutation_phase2,ok,2026-06-10T05:21:43.581194+00:00,surface_code,clifford_t,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,False,0.0025153160095214,946.0,26.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,7de15138171180eddd35e0f29e3e3ce11f0b20302daab2bc45c5be3302e9cf4d,7de15138171180eddd35e0f29e3e3ce11f0b20302daab2bc45c5be3302e9cf4d,X-stabilizer syndrome extraction,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,surface_code_4,SurfaceCode,5,hybrid_phase1_2,ok,2026-06-10T05:21:43.593191+00:00,surface_code,clifford_t,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,False,0.0099985599517822,946.0,26.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,7de15138171180eddd35e0f29e3e3ce11f0b20302daab2bc45c5be3302e9cf4d,7de15138171180eddd35e0f29e3e3ce11f0b20302daab2bc45c5be3302e9cf4d,X-stabilizer syndrome extraction,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,uccsd_4,UCCSD,4,none,"decompose_error: ""Unable to translate the operations in the circuit: ['x', 'ry', 'cx'] to the backend's (or manually specified) target basis: ['if_else', 'while_loop', 'delay', 's', 'store', 'for_loop', 'x', 'h', 'sdg', 'cx', 'measure', 'snapshot', 'y', 't', 'switch_case', 'z', 'reset', 'barrier', 'tdg']. This likely means the target basis is not universal or there are additional equivalence rules needed in the EquivalenceLibrary being used. For more details on this error see: https://docs.quantum.ibm.com/api/qiskit/qiskit.transpiler.passes.BasisTranslator#translation-errors""",,,,,,,,,,,,,,,,,,,,,,,,decompose_error,True,gate_type_itt_zero,,
2.0.0,E18,e18_full_20260610_052140,qft_5,QFT,5,none,"decompose_error: ""Unable to translate the operations in the circuit: ['h', 'cp'] to the backend's (or manually specified) target basis: ['if_else', 'while_loop', 'delay', 's', 'store', 'for_loop', 'x', 'h', 'sdg', 'cx', 'measure', 'snapshot', 'y', 't', 'switch_case', 'z', 'reset', 'barrier', 'tdg']. This likely means the target basis is not universal or there are additional equivalence rules needed in the EquivalenceLibrary being used. For more details on this error see: https://docs.quantum.ibm.com/api/qiskit/qiskit.transpiler.passes.BasisTranslator#translation-errors""",,,,,,,,,,,,,,,,,,,,,,,,decompose_error,True,gate_type_itt_zero,,
2.0.0,E18,e18_full_20260610_052140,ghz_5,GHZ,5,greedy_phase1,ok,2026-06-10T05:21:43.612082+00:00,ghz,clifford_t,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,False,0.0019991397857666,42.0,29.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,9b447880da17df1481cf3dcf189e408bcf3ffb9a777e32fe94ef9e32d4b50e94,9b447880da17df1481cf3dcf189e408bcf3ffb9a777e32fe94ef9e32d4b50e94,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,ghz_5,GHZ,5,commutation_phase2,ok,2026-06-10T05:21:43.616410+00:00,ghz,clifford_t,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,False,0.0018389225006103,42.0,29.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,9b447880da17df1481cf3dcf189e408bcf3ffb9a777e32fe94ef9e32d4b50e94,9b447880da17df1481cf3dcf189e408bcf3ffb9a777e32fe94ef9e32d4b50e94,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,ghz_5,GHZ,5,hybrid_phase1_2,ok,2026-06-10T05:21:43.626645+00:00,ghz,clifford_t,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,False,0.008190631866455,42.0,29.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,9b447880da17df1481cf3dcf189e408bcf3ffb9a777e32fe94ef9e32d4b50e94,9b447880da17df1481cf3dcf189e408bcf3ffb9a777e32fe94ef9e32d4b50e94,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,cnot_chain_5,CNOT,5,greedy_phase1,ok,2026-06-10T05:21:43.637623+00:00,cnot_chain,clifford_t,32.0,0.0,1.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,True,0.0040652751922607,42.0,30.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,e171e616728bce5cf25c4326a3209dda0942fab578fb6384cae93d6986213bb4,d900145c7aa9a8445b64ae03fa38aac98c011bc4da18f1c6410a099f9cb9412c,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,cnot_chain_5,CNOT,5,commutation_phase2,ok,2026-06-10T05:21:43.650090+00:00,cnot_chain,clifford_t,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0096659660339355,42.0,30.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,e171e616728bce5cf25c4326a3209dda0942fab578fb6384cae93d6986213bb4,e171e616728bce5cf25c4326a3209dda0942fab578fb6384cae93d6986213bb4,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,cnot_chain_5,CNOT,5,hybrid_phase1_2,ok,2026-06-10T05:21:43.672907+00:00,cnot_chain,clifford_t,32.0,0.0,1.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,True,0.0198729038238525,42.0,30.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,e171e616728bce5cf25c4326a3209dda0942fab578fb6384cae93d6986213bb4,d900145c7aa9a8445b64ae03fa38aac98c011bc4da18f1c6410a099f9cb9412c,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,bv_5,Oracle,6,greedy_phase1,ok,2026-06-10T05:21:43.693526+00:00,bernstein_vazirani,clifford_t,16.0,10.0,0.375,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999968,True,0.0122888088226318,47.0,31.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,eb445c37d713dfac55eba5b3e232868a0de033339c15c01afd9cb16a7ded19c4,19d20a09bdd07b0bb54ff61337c18a64f04a0ccea80f1d91b6fa9860cb9bc4c5,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,bv_5,Oracle,6,commutation_phase2,ok,2026-06-10T05:21:43.706500+00:00,bernstein_vazirani,clifford_t,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999964,False,0.0112416744232177,47.0,31.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,eb445c37d713dfac55eba5b3e232868a0de033339c15c01afd9cb16a7ded19c4,eb445c37d713dfac55eba5b3e232868a0de033339c15c01afd9cb16a7ded19c4,,valid,False,observed,,
