circuit_family,n_qubits,seed,original_gate_count,optimized_gate_count,inverse_pair_density,commutation_density,predicted_reduction,actual_reduction,prediction_error,fidelity,runtime_seconds,gate_count_total
Shor,7,442,51,51,0.0,0.12,0.13338471999999998,0.0,-0.13338471999999998,1.0,0.02465677261352539,51
Ising,3,42,27,27,0.0,0.4230769230769231,0.46744549999999996,0.0,-0.46744549999999996,1.0000000000000009,0.03763866424560547,27
Ising,3,142,27,27,0.0,0.4230769230769231,0.46744549999999996,0.0,-0.46744549999999996,0.9999999999999996,0.027605056762695312,27
Ising,3,242,27,27,0.0,0.4230769230769231,0.46744549999999996,0.0,-0.46744549999999996,1.0,0.037891387939453125,27
Ising,3,342,27,27,0.0,0.4230769230769231,0.46744549999999996,0.0,-0.46744549999999996,0.999999999999998,0.029052257537841797,27
Ising,3,442,27,27,0.0,0.4230769230769231,0.46744549999999996,0.0,-0.46744549999999996,0.9999999999999987,0.0378117561340332,27
Ising,4,42,39,39,0.0,0.3684210526315789,0.4072021052631578,0.0,-0.4072021052631578,1.0000000000000018,0.04628252983093262,39
Ising,4,142,39,39,0.0,0.3684210526315789,0.4072021052631578,0.0,-0.4072021052631578,1.0,0.04762458801269531,39
Ising,4,242,39,39,0.0,0.3684210526315789,0.4072021052631578,0.0,-0.4072021052631578,0.999999999999999,0.0464022159576416,39
Ising,4,342,39,39,0.0,0.3684210526315789,0.4072021052631578,0.0,-0.4072021052631578,0.9999999999999969,0.04779219627380371,39
Ising,4,442,39,39,0.0,0.3684210526315789,0.4072021052631578,0.0,-0.4072021052631578,0.9999999999999977,0.04619264602661133,39
Ising,5,42,51,51,0.0,0.34,0.37587554,0.0,-0.37587554,1.0000000000000027,0.08140039443969727,51
Ising,5,142,51,51,0.0,0.34,0.37587554,0.0,-0.37587554,1.0,0.06620931625366211,51
Ising,5,242,51,51,0.0,0.34,0.37587554,0.0,-0.37587554,0.9999999999999991,0.06247448921203613,51
Ising,5,342,51,51,0.0,0.34,0.37587554,0.0,-0.37587554,0.9999999999999954,0.0556488037109375,51
Ising,5,442,51,51,0.0,0.34,0.37587554,0.0,-0.37587554,0.9999999999999979,0.05998039245605469,51
Ising,6,42,63,63,0.0,0.3225806451612903,0.35667538709677415,0.0,-0.35667538709677415,1.0000000000000018,0.1147770881652832,63
Ising,6,142,63,63,0.0,0.3225806451612903,0.35667538709677415,0.0,-0.35667538709677415,1.0,0.13773703575134277,63
Ising,6,242,63,63,0.0,0.3225806451612903,0.35667538709677415,0.0,-0.35667538709677415,0.9999999999999996,0.10826563835144043,63
Ising,6,342,63,63,0.0,0.3225806451612903,0.35667538709677415,0.0,-0.35667538709677415,0.9999999999999943,0.11557602882385254,63
Ising,6,442,63,63,0.0,0.3225806451612903,0.35667538709677415,0.0,-0.35667538709677415,0.9999999999999963,0.11532187461853027,63
Ising,7,42,75,75,0.0,0.3108108108108108,0.34370231081081076,0.0,-0.34370231081081076,1.0000000000000027,0.30651402473449707,75
Ising,7,142,75,75,0.0,0.3108108108108108,0.34370231081081076,0.0,-0.34370231081081076,0.9999999999999998,0.30368781089782715,75
Ising,7,242,75,75,0.0,0.3108108108108108,0.34370231081081076,0.0,-0.34370231081081076,0.9999999999999996,0.34198856353759766,75
Ising,7,342,75,75,0.0,0.3108108108108108,0.34370231081081076,0.0,-0.34370231081081076,0.9999999999999929,0.36098170280456543,75
Ising,7,442,75,75,0.0,0.3108108108108108,0.34370231081081076,0.0,-0.34370231081081076,0.9999999999999956,0.3333754539489746,75
QML,3,42,30,30,0.0,0.4827586206896552,0.5332285172413793,0.0,-0.5332285172413793,1.0,0.03185105323791504,30
QML,3,142,30,30,0.0,0.4827586206896552,0.5332285172413793,0.0,-0.5332285172413793,0.9999999999999996,0.032523393630981445,30
QML,3,242,30,30,0.0,0.4827586206896552,0.5332285172413793,0.0,-0.5332285172413793,1.0,0.03548264503479004,30
QML,3,342,30,30,0.0,0.4827586206896552,0.5332285172413793,0.0,-0.5332285172413793,1.0000000000000009,0.029756784439086914,30
QML,3,442,30,30,0.0,0.4827586206896552,0.5332285172413793,0.0,-0.5332285172413793,0.9999999999999992,0.030374526977539062,30
QML,4,42,44,44,0.0,0.3488372093023256,0.3856161860465116,0.0,-0.3856161860465116,1.0000000000000009,0.04801368713378906,44
QML,4,142,44,44,0.0,0.3488372093023256,0.3856161860465116,0.0,-0.3856161860465116,1.0000000000000009,0.04424166679382324,44
QML,4,242,44,44,0.0,0.3488372093023256,0.3856161860465116,0.0,-0.3856161860465116,0.9999999999999996,0.042356252670288086,44
QML,4,342,44,44,0.0,0.3488372093023256,0.3856161860465116,0.0,-0.3856161860465116,1.0000000000000013,0.04406905174255371,44
QML,4,442,44,44,0.0,0.3488372093023256,0.3856161860465116,0.0,-0.3856161860465116,0.9999999999999988,0.04596662521362305,44
QML,5,42,55,55,0.0,0.35185185185185186,0.3889390185185185,0.0,-0.3889390185185185,1.0,0.06019020080566406,55
QML,5,142,55,55,0.0,0.35185185185185186,0.3889390185185185,0.0,-0.3889390185185185,1.0,0.062497854232788086,55
QML,5,242,55,55,0.0,0.35185185185185186,0.3889390185185185,0.0,-0.3889390185185185,1.0,0.06169438362121582,55
QML,5,342,55,55,0.0,0.35185185185185186,0.3889390185185185,0.0,-0.3889390185185185,1.0000000000000009,0.06093764305114746,55
QML,5,442,55,55,0.0,0.35185185185185186,0.3889390185185185,0.0,-0.3889390185185185,0.9999999999999982,0.06373929977416992,55
QML,6,42,66,66,0.0,0.35384615384615387,0.39113719999999996,0.0,-0.39113719999999996,1.0,0.14078855514526367,66
QML,6,142,66,66,0.0,0.35384615384615387,0.39113719999999996,0.0,-0.39113719999999996,1.0000000000000004,0.14283108711242676,66
QML,6,242,66,66,0.0,0.35384615384615387,0.39113719999999996,0.0,-0.39113719999999996,1.0,0.13002514839172363,66
QML,6,342,66,66,0.0,0.35384615384615387,0.39113719999999996,0.0,-0.39113719999999996,1.0000000000000004,0.12894916534423828,66
QML,6,442,66,66,0.0,0.35384615384615387,0.39113719999999996,0.0,-0.39113719999999996,0.9999999999999984,0.13120269775390625,66
QML,7,42,77,77,0.0,0.35526315789473684,0.39269906578947367,0.0,-0.39269906578947367,1.0,0.3451197147369385,77
QML,7,142,77,77,0.0,0.35526315789473684,0.39269906578947367,0.0,-0.39269906578947367,1.0000000000000009,0.30974245071411133,77
QML,7,242,77,77,0.0,0.35526315789473684,0.39269906578947367,0.0,-0.39269906578947367,1.0000000000000009,0.2802248001098633,77
QML,7,342,77,77,0.0,0.35526315789473684,0.39269906578947367,0.0,-0.39269906578947367,1.0,0.3325667381286621,77
QML,7,442,77,77,0.0,0.35526315789473684,0.39269906578947367,0.0,-0.39269906578947367,0.9999999999999991,0.30551791191101074,77
QPE,3,42,17,17,0.0,0.375,0.414453625,0.0,-0.414453625,0.9999999999999979,0.04568076133728027,17
QPE,3,142,17,17,0.0,0.375,0.414453625,0.0,-0.414453625,0.9999999999999983,0.03527045249938965,17
QPE,3,242,17,17,0.0,0.375,0.414453625,0.0,-0.414453625,0.9999999999999974,0.032410621643066406,17
QPE,3,342,17,17,0.0,0.375,0.414453625,0.0,-0.414453625,0.9999999999999979,0.04556107521057129,17
QPE,3,442,17,17,0.0,0.375,0.414453625,0.0,-0.414453625,0.9999999999999981,0.030991315841674805,17
QPE,4,42,30,30,0.0,0.27586206896551724,0.305180724137931,0.0,-0.305180724137931,0.999999999999997,0.062099456787109375,30
QPE,4,142,30,30,0.0,0.27586206896551724,0.305180724137931,0.0,-0.305180724137931,0.9999999999999982,0.07012319564819336,30
