experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers,bv_secret
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,5,4,7,14,14,0.0,0.999999999999997,exact,True,0.0,2049,2,,,,,,,,,15
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,5,4,7,14,14,0.0,0.999999999999997,exact,True,0.0009899139404296875,2049,2,,,,,,,,,15
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,5,4,7,14,6,0.5714285714285714,0.9999999999999984,exact,True,0.0009984970092773438,2049,2,4.0,0.0,0.0,4.0,0.0,0.0,38.0,0.0,15
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,5,4,6,13,13,0.0,0.999999999999997,exact,True,0.000985860824584961,3049,3,,,,,,,,,11
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,5,4,6,13,11,0.15384615384615385,0.9999999999999979,exact,True,0.0,3049,3,,,,,,,,,11
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,5,4,6,13,5,0.6153846153846154,0.9999999999999984,exact,True,0.0010221004486083984,3049,3,3.0,0.0,0.0,4.0,0.0,0.0,25.0,10.0,11
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,5,4,6,13,13,0.0,0.999999999999997,exact,True,0.0,4049,4,,,,,,,,,7
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,5,4,6,13,11,0.15384615384615385,0.9999999999999979,exact,True,0.0,4049,4,,,,,,,,,7
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,5,4,6,13,5,0.6153846153846154,0.9999999999999984,exact,True,0.0010035037994384766,4049,4,3.0,0.0,0.0,4.0,0.0,0.0,25.0,10.0,7
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,5,4,5,12,12,0.0,0.999999999999997,exact,True,0.0,5049,5,,,,,,,,,9
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,5,4,5,12,8,0.33333333333333337,0.9999999999999981,exact,True,0.0,5049,5,,,,,,,,,9
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,5,4,5,12,4,0.6666666666666667,0.9999999999999984,exact,True,0.0009996891021728516,5049,5,2.0,0.0,0.0,4.0,0.0,0.0,15.0,15.0,9
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,5,4,7,14,14,0.0,0.999999999999997,exact,True,0.0010061264038085938,6049,6,,,,,,,,,15
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,5,4,7,14,14,0.0,0.999999999999997,exact,True,0.0010013580322265625,6049,6,,,,,,,,,15
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,5,4,7,14,6,0.5714285714285714,0.9999999999999984,exact,True,0.0009996891021728516,6049,6,4.0,0.0,0.0,4.0,0.0,0.0,38.0,0.0,15
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,5,4,6,13,13,0.0,0.999999999999997,exact,True,0.0,7049,7,,,,,,,,,14
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,5,4,6,13,11,0.15384615384615385,0.9999999999999979,exact,True,0.0,7049,7,,,,,,,,,14
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,5,4,6,13,5,0.6153846153846154,0.9999999999999984,exact,True,0.0019986629486083984,7049,7,3.0,0.0,0.0,4.0,0.0,0.0,25.0,10.0,14
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,5,4,5,12,12,0.0,0.999999999999997,exact,True,0.0,8049,8,,,,,,,,,9
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,5,4,5,12,8,0.33333333333333337,0.9999999999999981,exact,True,0.0010004043579101562,8049,8,,,,,,,,,9
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,5,4,5,12,4,0.6666666666666667,0.9999999999999984,exact,True,0.002024412155151367,8049,8,2.0,0.0,0.0,4.0,0.0,0.0,15.0,15.0,9
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,5,4,6,13,13,0.0,0.999999999999997,exact,True,0.0,9049,9,,,,,,,,,13
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,5,4,6,13,11,0.15384615384615385,0.9999999999999979,exact,True,0.0009987354278564453,9049,9,,,,,,,,,13
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,5,4,6,13,5,0.6153846153846154,0.9999999999999984,exact,True,0.002088308334350586,9049,9,3.0,0.0,0.0,4.0,0.0,0.0,25.0,10.0,13
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,6,5,8,17,17,0.0,0.9999999999999964,exact,True,0.0,50,0,,,,,,,,,31
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,6,5,8,17,17,0.0,0.9999999999999964,exact,True,0.0010211467742919922,50,0,,,,,,,,,31
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,6,5,8,17,7,0.5882352941176471,0.9999999999999973,exact,True,0.0020189285278320312,50,0,5.0,0.0,0.0,5.0,0.0,0.0,60.0,0.0,31
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,6,5,6,15,15,0.0,0.9999999999999964,exact,True,0.0,1050,1,,,,,,,,,21
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,6,5,6,15,11,0.2666666666666667,0.9999999999999967,exact,True,0.0010001659393310547,1050,1,,,,,,,,,21
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,6,5,6,15,5,0.6666666666666667,0.9999999999999973,exact,True,0.0019981861114501953,1050,1,3.0,0.0,0.0,5.0,0.0,0.0,29.0,21.0,21
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,6,5,4,13,13,0.0,0.9999999999999964,exact,True,0.0010006427764892578,2050,2,,,,,,,,,2
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,6,5,4,13,5,0.6153846153846154,0.9999999999999973,exact,True,0.0009992122650146484,2050,2,,,,,,,,,2
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,6,5,4,13,3,0.7692307692307692,0.9999999999999973,exact,True,0.0009996891021728516,2050,2,1.0,0.0,0.0,5.0,0.0,0.0,10.0,22.0,2
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,6,5,7,16,16,0.0,0.9999999999999964,exact,True,0.001001119613647461,3050,3,,,,,,,,,27
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,6,5,7,16,14,0.125,0.9999999999999967,exact,True,0.0009832382202148438,3050,3,,,,,,,,,27
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,6,5,7,16,6,0.625,0.9999999999999973,exact,True,0.0030040740966796875,3050,3,4.0,0.0,0.0,5.0,0.0,0.0,43.0,13.0,27
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,6,5,5,14,14,0.0,0.9999999999999964,exact,True,0.0,4050,4,,,,,,,,,9
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,6,5,5,14,8,0.4285714285714286,0.9999999999999971,exact,True,0.0010001659393310547,4050,4,,,,,,,,,9
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,6,5,5,14,4,0.7142857142857143,0.9999999999999973,exact,True,0.002001523971557617,4050,4,2.0,0.0,0.0,5.0,0.0,0.0,18.0,24.0,9
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,6,5,5,14,14,0.0,0.9999999999999964,exact,True,0.001001596450805664,5050,5,,,,,,,,,18
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,6,5,5,14,8,0.4285714285714286,0.9999999999999971,exact,True,0.0009999275207519531,5050,5,,,,,,,,,18
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,6,5,5,14,4,0.7142857142857143,0.9999999999999973,exact,True,0.0020072460174560547,5050,5,2.0,0.0,0.0,5.0,0.0,0.0,18.0,24.0,18
