schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,circuit_type,benchmark_suite,n_qubits,depth,gate_count_total,gate_count_1q,gate_count_2q,gate_count_multiq,gate_counts_json,commuting_block_count,mean_block_size,max_block_size,cancellable_pair_count,mergeable_rotation_count,adjacent_commuting_pairs,commutation_enabled_inverse_pairs,structural_lower_bound,structural_upper_bound_reduction,observed_best_gate_count,observed_best_reduction,ceiling_gap,ceiling_gap_pct,ceiling_gap_negative,best_optimizer,best_compiler,analysis_method,analysis_version,source_file,source_sha256,input_circuit_sha256,env_id,notes,seed,trial
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.172572+00:00,hardware_eff_4,HardwareEfficient,hardware_efficient,extended_v5_smoke,4,4,11,8,3,0,"{""cx"":3,""ry"":4,""rz"":4}",6,1.8333333333333333,3,0,0,5,0,11,0.0,11,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,33988bf724ee4f0288b21c44f5541594b36c74bf2c579fbd6e43ba76ba98305d,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,346,20
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.233362+00:00,grover_4,Grover,grover,extended_v5_smoke,4,11,26,24,0,2,"{""h"":16,""mcx"":2,""x"":8}",14,1.8571428571428572,5,1,0,12,1,22,0.15384615384615385,22,0.15384615384615385,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,4fc984c9fc66dcb6b9dc0fdd66788f8b980e178607adfe44a28f04863de6ebdc,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,446,21
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.248728+00:00,adder_4,Adder,quantum_adder,extended_v5_smoke,4,6,6,1,2,3,"{""ccx"":3,""cx"":2,""x"":1}",6,1.0,1,0,0,0,0,6,0.0,6,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,c2f59740e6b3e2a395683f9a2c34a12a350af985f437251f55c71e43bf23f1ab,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,546,22
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.721948+00:00,qwalk_4,QuantumWalk,quantum_walk,extended_v5_smoke,5,35,58,34,6,18,"{""ccx"":6,""cx"":6,""h"":3,""mcx"":12,""ry"":1,""x"":30}",32,1.8125,6,0,0,26,0,58,0.0,58,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,c95317c1934c184e40a57fa5dc213e1389b9abdeedc547f0b32129d4319a1e70,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,646,23
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.742117+00:00,iqp_4,IQP,iqp,extended_v5_smoke,4,4,15,15,0,0,"{""h"":8,""rz"":7}",1,15.0,15,0,0,14,0,15,0.0,15,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,a184604fe8e9fff65d7fc4b04a0374176884155f49835fc64a3e78eeea2e3335,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,746,24
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.767791+00:00,clifford_4,RandomClifford,random_clifford,extended_v5_smoke,4,10,28,24,4,0,"{""cx"":4,""h"":11,""s"":13}",4,7.0,13,0,0,24,1,26,0.07142857142857142,26,0.0714285714285714,2.7755575615628914e-17,2.7755575615628914e-15,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,3ddeba643cb1262108f3aa16deb98fff7a1b48b89c7248b1fb063953fca055c7,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,846,25
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.767791+00:00,surface_code_4,SurfaceCode,surface_code,extended_v5_smoke,5,6,7,3,4,0,"{""cx"":4,""h"":2,""x"":1}",6,1.1666666666666667,2,0,0,1,0,7,0.0,7,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,7de15138171180eddd35e0f29e3e3ce11f0b20302daab2bc45c5be3302e9cf4d,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,946,26
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.798451+00:00,uccsd_4,UCCSD_inspired,uccsd_inspired_ansatz,extended_v5_smoke,4,16,28,14,14,0,"{""cx"":14,""ry"":12,""x"":2}",16,1.75,4,0,0,12,0,28,0.0,28,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,5f5b6844177bd52e8c187fc996896ec6118d9e360e258d5f3707493673cae096,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,1046,27
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.815810+00:00,qft_5,QFT,qft,extended_v5_smoke,5,9,15,5,10,0,"{""cp"":10,""h"":5}",12,1.25,2,0,0,3,0,15,0.0,15,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,8121dc054e78fd266f0fc7e175af417e3c08ec8500e98a9b032efe23c027b9b1,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,42,28
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.815810+00:00,ghz_5,GHZ,ghz,extended_v5_smoke,5,5,5,1,4,0,"{""cx"":4,""h"":1}",5,1.0,1,0,0,0,0,5,0.0,5,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,9b447880da17df1481cf3dcf189e408bcf3ffb9a777e32fe94ef9e32d4b50e94,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,42,29
