experiment,n_qubits,depth,trial,seed,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
3,3,3,48,90,9,9.61027951144475e-16,1.2813706015259667e-15,9,9,0.0,0.9999999999999988,False,0.000997781753540039,3.0.0
3,3,3,49,91,9,-6.406853007629837e-16,-8.542470676839783e-16,9,9,0.0,1.0,False,0.0,3.0.0
3,3,4,0,42,12,0.7985199038287127,1.0646932051049502,12,12,0.0,1.0,False,0.0,3.0.0
3,3,4,1,43,12,-0.0,-0.0,12,12,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,4,2,44,12,0.6812153578883833,0.9082871438511777,12,12,0.0,0.9999999999999984,False,0.0010008811950683594,3.0.0
3,3,4,3,45,12,6.406853007629834e-16,8.542470676839779e-16,12,12,0.0,0.9999999999999988,False,0.0009996891021728516,3.0.0
3,3,4,4,46,12,0.8896624672274962,1.1862166229699949,12,12,0.0,0.999999999999998,False,0.0,3.0.0
3,3,4,5,47,12,1.121199276335221e-15,1.4949323684469612e-15,12,12,0.0,0.9999999999999987,False,0.0010013580322265625,3.0.0
3,3,4,6,48,12,6.406853007629834e-16,8.542470676839779e-16,12,12,0.0,0.9999999999999988,False,0.0,3.0.0
3,3,4,7,49,12,4.805139755722375e-16,6.406853007629833e-16,12,12,0.0,1.0000000000000009,False,0.0,3.0.0
3,3,4,8,50,12,6.406853007629834e-16,8.542470676839779e-16,12,12,0.0,0.9999999999999992,False,0.00099945068359375,3.0.0
3,3,4,9,51,12,0.741490988642534,0.9886546515233787,12,12,0.0,0.9999999999999984,False,0.0,3.0.0
3,3,4,10,52,12,1.2813706015259665e-15,1.7084941353679552e-15,12,12,0.0,0.999999999999999,False,0.0009989738464355469,3.0.0
3,3,4,11,53,12,1.0000000000000002,1.3333333333333337,12,12,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,4,12,54,12,6.406853007629834e-16,8.542470676839779e-16,12,12,0.0,0.9999999999999987,False,0.0,3.0.0
3,3,4,13,55,12,9.61027951144475e-16,1.2813706015259667e-15,12,12,0.0,0.999999999999998,False,0.0009996891021728516,3.0.0
3,3,4,14,56,12,0.5277921453512873,0.7037228604683831,12,12,0.0,0.999999999999999,False,0.0010006427764892578,3.0.0
3,3,4,15,57,12,3.2034265038149176e-16,4.27123533841989e-16,12,12,0.0,0.9999999999999992,False,0.0009996891021728516,3.0.0
3,3,4,16,58,12,0.9369957113339016,1.2493276151118688,12,12,0.0,0.9999999999999988,False,0.0,3.0.0
3,3,4,17,59,12,-0.0,-0.0,12,12,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,4,18,60,12,0.37452801681716497,0.4993706890895533,12,12,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,4,19,61,12,0.06288942920032442,0.08385257226709923,12,12,0.0,0.9999999999999996,False,0.002203702926635742,3.0.0
3,3,4,20,62,12,8.008566259537292e-16,1.0678088346049723e-15,12,12,0.0,0.999999999999999,False,0.0,3.0.0
3,3,4,21,63,12,0.06590162466574813,0.08786883288766417,12,12,0.0,0.9999999999999984,False,0.0,3.0.0
