experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,6,6,30,131,83,0.36641221374045807,0.9999999999999858,exact,True,0.026727676391601562,435,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,6,6,30,131,56,0.5725190839694656,0.999999999999986,exact,True,0.027050495147705078,435,2,2.0,1.0,0.0,23.0,3.0,21.0,136.0,463.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,6,6,40,184,184,0.0,0.9999999999999718,exact,True,0.0020046234130859375,245,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,6,6,40,184,130,0.2934782608695652,0.9999999999999792,exact,True,0.03615736961364746,245,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,6,6,40,184,83,0.5489130434782609,0.9999999999999822,exact,True,0.04346728324890137,245,0,0.0,6.0,0.0,25.0,3.0,33.0,258.0,446.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,6,6,40,187,187,0.0,0.9999999999999718,exact,True,0.0020036697387695312,345,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,6,6,40,187,135,0.27807486631016043,0.9999999999999792,exact,True,0.045731306076049805,345,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,6,6,40,187,77,0.5882352941176471,0.9999999999999799,exact,True,0.062343597412109375,345,1,2.0,2.0,0.0,30.0,4.0,33.0,311.0,750.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,6,6,40,188,188,0.0,0.9999999999999722,exact,True,0.0,445,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,6,6,40,188,146,0.22340425531914898,0.9999999999999792,exact,True,0.043100595474243164,445,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,6,6,40,188,95,0.49468085106382975,0.9999999999999799,exact,True,0.04512453079223633,445,2,3.0,5.0,0.0,21.0,1.0,36.0,215.0,553.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,6,6,45,189,189,0.0,0.9999999999999729,exact,True,0.0020074844360351562,250,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,6,6,45,189,139,0.26455026455026454,0.9999999999999819,exact,True,0.07956981658935547,250,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,6,6,45,189,81,0.5714285714285714,0.9999999999999827,exact,True,0.1065058708190918,250,0,3.0,1.0,0.0,28.0,2.0,41.0,356.0,657.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,6,6,45,195,195,0.0,0.9999999999999729,exact,True,0.00054168701171875,350,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,6,6,45,195,149,0.23589743589743595,0.9999999999999817,exact,True,0.053258657455444336,350,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,6,6,45,195,94,0.5179487179487179,0.9999999999999817,exact,True,0.0693354606628418,350,1,1.0,1.0,0.0,23.0,3.0,44.0,230.0,674.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,6,6,45,196,196,0.0,0.9999999999999718,exact,True,0.0,450,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,6,6,45,196,142,0.2755102040816326,0.9999999999999755,exact,True,0.05505013465881348,450,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,6,6,45,196,100,0.4897959183673469,0.9999999999999755,exact,True,0.061511993408203125,450,2,1.0,2.0,0.0,27.0,1.0,32.0,357.0,542.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,7,7,25,123,123,0.0,0.9999999999999821,exact,True,0.0020046234130859375,240,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,7,7,25,123,97,0.21138211382113825,0.9999999999999857,exact,True,0.015054941177368164,240,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,7,7,25,123,60,0.5121951219512195,0.9999999999999861,exact,True,0.057575225830078125,240,0,1.0,3.0,0.0,16.0,2.0,20.0,136.0,441.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,7,7,25,135,135,0.0,0.9999999999999826,exact,True,0.0,340,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,7,7,25,135,107,0.20740740740740737,0.9999999999999861,exact,True,0.030699491500854492,340,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,7,7,25,135,54,0.6,0.9999999999999892,exact,True,0.0670781135559082,340,1,1.0,0.0,0.0,18.0,2.0,35.0,142.0,598.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,7,7,25,127,127,0.0,0.9999999999999826,exact,True,0.002004384994506836,440,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,7,7,25,127,101,0.20472440944881887,0.9999999999999861,exact,True,0.0257871150970459,440,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,7,7,25,127,66,0.4803149606299213,0.9999999999999892,exact,True,0.06632399559020996,440,2,1.0,0.0,0.0,14.0,0.0,30.0,193.0,530.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,7,7,30,149,149,0.0,0.9999999999999727,exact,True,0.0020055770874023438,245,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,7,7,30,149,105,0.2953020134228188,0.9999999999999797,exact,True,0.02897787094116211,245,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,7,7,30,149,57,0.6174496644295302,0.9999999999999857,exact,True,0.06627321243286133,245,0,1.0,4.0,0.0,26.0,1.0,29.0,183.0,676.0
