experiment,circuit_id,circuit_family,n_qubits,variant_idx,tool,gate_count,base_gate_count,unitary_check,error
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,9,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,9,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,9,prototype_greedy,56,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,10,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,10,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,10,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,10,prototype_greedy,54,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,11,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,11,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,11,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,11,prototype_greedy,52,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,12,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,12,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,12,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,12,prototype_greedy,56,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,13,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,13,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,13,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,13,prototype_greedy,54,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,14,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,14,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,14,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,14,prototype_greedy,54,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,15,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,15,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,15,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,15,prototype_greedy,56,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,16,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,16,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,16,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,16,prototype_greedy,54,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,17,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,17,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,17,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,17,prototype_greedy,54,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,18,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,18,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,18,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,18,prototype_greedy,52,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,19,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,19,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,19,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,19,prototype_greedy,56,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,0,qiskit_L3,0,56.0,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,0,tket_FPO_noswap,0,56.0,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,0,cirq_default,0,56.0,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,0,prototype_greedy,0,56.0,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,1,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,1,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,1,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,1,prototype_greedy,12,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,2,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,2,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,2,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,2,prototype_greedy,6,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,3,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,3,tket_FPO_noswap,0,,pass,
