family,n_qubits,n_pairs,mean_time_naive_ms,mean_time_ca_ms,speedup,wilcoxon_statistic,wilcoxon_pvalue,cohens_d_time,mean_reduction_naive,mean_reduction_ca,reduction_diff,mean_fidelity_naive,mean_fidelity_ca
HardwareEfficient,10,10,7.614239999384154,2.119070001936052,3.5931988997189963,0.0,0.001953125,3.4995506953244573,0.0,0.0,0.0,1.0,1.0
IQP,4,10,15.881930000614375,1.4657099978649057,10.835656455744672,0.0,0.001953125,3.673353188481498,0.0,0.0,0.0,0.999999999999998,0.999999999999998
IQP,6,10,34.22664999961853,1.5306299974326976,22.36115198122758,0.0,0.001953125,5.462432405917271,0.0,0.0,0.0,0.9999999999999968,0.9999999999999968
IQP,8,10,5.87880000093719,2.134340001794044,2.7543877713933567,0.0,0.001953125,5.076215291874207,0.0,0.0,0.0,1.0,1.0
IQP,10,10,5.012730001180898,1.7019399980199523,2.945303598841757,0.0,0.001953125,2.6664363831422193,0.0,0.0,0.0,1.0,1.0
Oracle,4,10,5.8242600003723055,2.7769400025135837,2.0973661638711674,0.0,0.001953125,3.893974789178246,0.3770695970695971,0.3770695970695971,0.0,0.999999999999998,0.999999999999998
Oracle,6,10,21.131239998794626,4.548960001557134,4.645290350225389,0.0,0.001953125,2.7666465476936355,0.256828345373237,0.256828345373237,0.0,0.9999999999999964,0.9999999999999964
Oracle,8,10,1.3274699973408133,0.6899200001498684,1.9240926441507022,0.0,0.001953125,7.5416055166499865,0.0,0.0,0.0,1.0,1.0
Oracle,10,10,1.6231000001425855,0.8510300001944415,1.9072183116596866,0.0,0.001953125,3.413909867228589,0.0,0.0,0.0,1.0,1.0
QAOA,4,10,8.011060002900194,0.7257100034621544,11.038927346573319,0.0,0.001953125,16.91324365634155,0.0,0.0,0.0,1.000000000000001,1.000000000000001
QAOA,6,10,30.664220001199283,1.7586400019354187,17.436325778699842,0.0,0.001953125,3.52167175459228,0.0,0.0,0.0,1.0000000000000013,1.0000000000000013
QAOA,8,10,4.770159999316093,1.7987199986237101,2.6519747392401145,0.0,0.001953125,3.663981864321134,0.0,0.0,0.0,1.0,1.0
QAOA,10,10,6.652270001359284,1.8931499987957068,3.5138631411092653,0.0,0.001953125,3.039812554278533,0.0,0.0,0.0,1.0,1.0
QFT,4,10,7.4029800001881085,0.5950599996140227,12.440728674402493,0.0,0.001953125,7.837016990016449,0.0,0.0,0.0,0.9999999999999988,0.9999999999999988
QFT,6,10,22.69061999832047,0.9143200033577159,24.816934896964142,0.0,0.001953125,10.831613457865796,0.0,0.0,0.0,0.9999999999999997,0.9999999999999997
QFT,8,10,11.509300000034273,1.1372499997378327,10.120290176027682,0.0,0.001953125,9.070696765744811,0.0,0.0,0.0,1.0,1.0
QFT,10,10,18.5701299997163,1.5401000026031397,12.057742983136361,0.0,0.001953125,12.476053830059914,0.0,0.0,0.0,1.0,1.0
QuantumWalk,4,10,312.44453999970574,2.1208699996350333,147.3190436252445,0.0,0.001953125,4.131936580194994,0.0,0.0,0.0,0.9999999999999245,0.9999999999999245
QuantumWalk,6,10,5746.620730000723,3.5778599994955584,1606.1614291254932,0.0,0.001953125,9.45397403455697,0.0,0.0,0.0,0.999999999999695,0.999999999999695
QuantumWalk,8,10,17.574829996738117,6.6806899980292656,2.6306908421020148,1.0,0.00390625,0.6021186930904981,0.0,0.0,0.0,1.0,1.0
QuantumWalk,10,10,21.80752999847755,14.392079999379348,1.5152451903698414,1.0,0.00390625,1.508485768057009,0.0,0.0,0.0,1.0,1.0
RandomClifford,4,10,15.880849998211488,8.17968000046676,1.9415001561558978,0.0,0.001953125,2.133428427554348,0.19769433441390932,0.19769433441390932,0.0,0.9999999999999968,0.9999999999999968
