family,n_qubits,param_n,depth,seed,circuit_sha256,gate_reduction,phase1_only_reduction,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
QuantumVolume,4,4,20,1,54586d083c3717c7965e4d3a534a0a69edbbaf19d0e9fa38cc38d9cc9641f85f,0.0,0.0,10,2.3978952727983707,2.5,5,1.25,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,4,0.4,2.5,4,0.0
QuantumVolume,4,4,20,2,89556cf93b7be49d764eaa61ef3582df8b9a4a22a89ed54eddbf8885561bc624,0.0,0.0,10,2.3978952727983707,2.5,5,1.25,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,5,0.5,2.0,2,0.0
QuantumVolume,4,4,20,3,12c6622730480a574d7e0a68a584de9739452e11c0ecdbc9a2df5aefc9024dd4,0.0,0.0,10,2.3978952727983707,2.5,5,1.25,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,5,0.5,2.0,2,0.0
QuantumVolume,4,4,30,1,2438e93c001119a9030ad08ce6374c28869a67817c56a5e2a87ac15532dec496,0.0,0.0,14,2.70805020110221,3.5,7,1.75,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,6,0.42857142857142855,2.3333333333333335,4,0.0
QuantumVolume,4,4,30,2,9a9172f72a6b3089ebd6fecdd5e796613fb8a7d988ff2eda7cccc059ef762ba1,0.0,0.0,14,2.70805020110221,3.5,7,1.75,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,6,0.42857142857142855,2.3333333333333335,4,0.0
QuantumVolume,4,4,30,3,865960565d6cb9ff5e26da81722979a70819d2b16d64a11b50a8375b8cc60101,0.0,0.0,14,2.70805020110221,3.5,7,1.75,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,7,0.5,2.0,2,0.0
QuantumVolume,5,5,10,1,af57ab7840c1950250a981c0f290efe85b4ffa91064b4c5c1967c53a2f074623,0.0,0.0,4,1.6094379124341003,0.8,2,0.4,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.25,4.0,4,0.0
QuantumVolume,5,5,10,2,61a418b1632a2ffd3e676aa9304d7d606ddbc2b7c7a6d99487978ca769251b6b,0.0,0.0,4,1.6094379124341003,0.8,2,0.4,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,2,0.5,2.0,2,0.0
QuantumVolume,5,5,10,3,2b46d791ea563e9b279ee73cb5beaba62fbccbb014cf97198b33aca0dc5eb024,0.0,0.0,4,1.6094379124341003,0.8,2,0.4,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.25,4.0,4,0.0
QuantumVolume,5,5,20,1,8f4a5c308a7292e93da704c86a5f71f973e61e44343ade81d370b92597bba8d6,0.0,0.0,8,2.1972245773362196,1.6,4,0.8,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,2,0.25,4.0,6,0.0
QuantumVolume,5,5,20,2,4854493a11c7f9cc2117ec391d5c35bc4c479e1ae2f2109f07d8e0b3d69a1171,0.0,0.0,8,2.1972245773362196,1.6,4,0.8,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,4,0.5,2.0,2,0.0
QuantumVolume,5,5,20,3,193aa27dd9e95a586ba97fea358558d7233759cbbd27506e498c779e01d5b140,0.0,0.0,8,2.1972245773362196,1.6,4,0.8,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,3,0.375,2.6666666666666665,4,0.0
QuantumVolume,5,5,30,1,0672e22d2f499fbd6b5791b6bda3558b5fe2375f0099d90531904096e96fe1a9,0.0,0.0,12,2.5649493574615367,2.4,6,1.2,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,3,0.25,4.0,6,0.0
QuantumVolume,5,5,30,2,20461f0d7912926c65b17a2225efb1d54a176dc10d3e3f01bdc903ac76a47629,0.0,0.0,12,2.5649493574615367,2.4,6,1.2,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,6,0.5,2.0,2,0.0
QuantumVolume,5,5,30,3,a20a4d69cb1ed64c184fbdbedfdb5ab55fd3ef00eec5fa693a5a013047d04882,0.0,0.0,12,2.5649493574615367,2.4,6,1.2,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,5,0.4166666666666667,2.4,4,0.0
QuantumVolume,6,6,10,1,5febbff9a0df9313ddf4e871230769de40323bd2254c275b72f6a0cfb47ce554,0.0,0.0,3,1.3862943611198906,0.5,1,0.16666666666666666,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.3333333333333333,3.0,3,0.0
QuantumVolume,6,6,10,2,d2c8223388eb34f4e84de9019689e08c192645a3ce639350b5d6a555a6e03a11,0.0,0.0,3,1.3862943611198906,0.5,1,0.16666666666666666,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.3333333333333333,3.0,3,0.0
QuantumVolume,6,6,10,3,560c7816f789b0e692aecc91599ee640389c45a6b58013eb6dc29d1155387937,0.0,0.0,3,1.3862943611198906,0.5,1,0.16666666666666666,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.3333333333333333,3.0,3,0.0
