row_idx,family,n_qubits,trial_seed,input_circuit_sha256,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
29,QFT,8,2114032571,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,36,3.6109179126442243,4.5,15,1.875,0.7777777777777778,2,0.0,0,0.0,0,0.0,0,0.0,0.0,30,0.8333333333333334,1.2,2,0.2222222222222222
30,QFT,10,787716372,42d8c0833c711ef5a728d7e74557b32d900a97be7f13168033922f39a90f6b39,55,4.02535169073515,5.5,19,1.9,0.8181818181818182,2,0.0,0,0.0,0,0.0,0,0.0,0.0,47,0.8545454545454545,1.1702127659574468,2,0.18181818181818182
31,QFT,10,504579232,42d8c0833c711ef5a728d7e74557b32d900a97be7f13168033922f39a90f6b39,55,4.02535169073515,5.5,19,1.9,0.8181818181818182,2,0.0,0,0.0,0,0.0,0,0.0,0.0,47,0.8545454545454545,1.1702127659574468,2,0.18181818181818182
32,QFT,10,1306710475,42d8c0833c711ef5a728d7e74557b32d900a97be7f13168033922f39a90f6b39,55,4.02535169073515,5.5,19,1.9,0.8181818181818182,2,0.0,0,0.0,0,0.0,0,0.0,0.0,47,0.8545454545454545,1.1702127659574468,2,0.18181818181818182
33,QFT,10,479546681,42d8c0833c711ef5a728d7e74557b32d900a97be7f13168033922f39a90f6b39,55,4.02535169073515,5.5,19,1.9,0.8181818181818182,2,0.0,0,0.0,0,0.0,0,0.0,0.0,47,0.8545454545454545,1.1702127659574468,2,0.18181818181818182
34,QFT,10,106328085,42d8c0833c711ef5a728d7e74557b32d900a97be7f13168033922f39a90f6b39,55,4.02535169073515,5.5,19,1.9,0.8181818181818182,2,0.0,0,0.0,0,0.0,0,0.0,0.0,47,0.8545454545454545,1.1702127659574468,2,0.18181818181818182
35,QFT,10,30349564,42d8c0833c711ef5a728d7e74557b32d900a97be7f13168033922f39a90f6b39,55,4.02535169073515,5.5,19,1.9,0.8181818181818182,2,0.0,0,0.0,0,0.0,0,0.0,0.0,47,0.8545454545454545,1.1702127659574468,2,0.18181818181818182
36,QFT,10,1855189739,42d8c0833c711ef5a728d7e74557b32d900a97be7f13168033922f39a90f6b39,55,4.02535169073515,5.5,19,1.9,0.8181818181818182,2,0.0,0,0.0,0,0.0,0,0.0,0.0,47,0.8545454545454545,1.1702127659574468,2,0.18181818181818182
37,QFT,10,99052376,42d8c0833c711ef5a728d7e74557b32d900a97be7f13168033922f39a90f6b39,55,4.02535169073515,5.5,19,1.9,0.8181818181818182,2,0.0,0,0.0,0,0.0,0,0.0,0.0,47,0.8545454545454545,1.1702127659574468,2,0.18181818181818182
38,QFT,10,1250819632,42d8c0833c711ef5a728d7e74557b32d900a97be7f13168033922f39a90f6b39,55,4.02535169073515,5.5,19,1.9,0.8181818181818182,2,0.0,0,0.0,0,0.0,0,0.0,0.0,47,0.8545454545454545,1.1702127659574468,2,0.18181818181818182
39,QFT,10,106406362,42d8c0833c711ef5a728d7e74557b32d900a97be7f13168033922f39a90f6b39,55,4.02535169073515,5.5,19,1.9,0.8181818181818182,2,0.0,0,0.0,0,0.0,0,0.0,0.0,47,0.8545454545454545,1.1702127659574468,2,0.18181818181818182
