family,strategy_name,n_instances,mean_gate_reduction,std_gate_reduction,mean_depth_reduction,std_depth_reduction,mean_cnot_reduction,mean_total_time_ms,std_total_time_ms,median_total_time_ms,mean_phase1_time_ms,mean_phase2_time_ms,pct_phase1_skipped,pct_phase2_skipped,mean_ceiling_proxy,mean_original_size,mean_optimized_size,speedup
HardwareEfficient,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,1.4754425017599715,0.5486941953928425,1.328700003796257,0.0,0.0,100.0,100.0,0.0,40.0,40.0,8.642056525418052
HardwareEfficient,naive,40,0.0,0.0,0.0,0.0,0.0,12.750857500213897,8.97602737188747,9.647049999330193,3.655402500589844,4.860117500356864,0.0,0.0,0.0,40.0,40.0,8.642056525418052
IQP,ceiling_aware,40,0.0495418129873847,0.06094778285017084,0.10761634199134198,0.15282489590993192,0.0,4.305529999328428,3.736232036338763,3.1164999963948503,0.0,2.7431875005277107,100.0,50.0,0.0,38.5,37.1,2.667095573028513
IQP,naive,40,0.0495418129873847,0.06094778285017084,0.10761634199134198,0.15282489590993192,0.0,11.483260000750306,8.93688538775098,7.956100002047606,3.1992199994419934,4.5418749996315455,0.0,0.0,0.0,38.5,37.1,2.667095573028513
Oracle,ceiling_aware,40,0.1584744856107085,0.23302822857936809,0.025,0.15811388300841897,0.0,2.753162500084727,3.2343669555232197,1.184699998702854,0.0,1.839954999013571,100.0,60.0,0.0,21.325,18.925,3.0721433981019346
Oracle,naive,40,0.1584744856107085,0.23302822857936809,0.025,0.15811388300841897,0.0,8.458109998537111,9.69440871102296,3.7109500044607557,2.659219999986817,2.9670674997760216,0.0,0.0,0.0,21.325,18.925,3.0721433981019346
QAOA,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,1.5559924988338025,0.5755245423368777,1.2835500019718893,0.0,0.0,100.0,100.0,0.0,32.0,32.0,7.828291273380138
QAOA,naive,40,0.0,0.0,0.0,0.0,0.0,12.180762500065612,8.851023895704886,8.033300000533927,3.6321974999736995,4.54111500075669,0.0,0.0,0.0,32.0,32.0,7.828291273380138
QFT,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,1.02560999985144,0.3879988454980387,1.0388500013505109,0.0,0.0,100.0,100.0,0.0,30.5,30.5,14.762295124832324
QFT,naive,40,0.0,0.0,0.0,0.0,0.0,15.140357500786195,5.670165770080567,16.592849999142345,4.221494999001152,6.575942499330267,0.0,0.0,0.0,30.5,30.5,14.762295124832324
QuantumWalk,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,4.674639998484054,1.7010785043871222,4.289649994461797,0.0,0.0,100.0,100.0,0.0,94.0,94.0,350.8757937576859
QuantumWalk,naive,40,0.0,0.0,0.0,0.0,0.0,1640.21801999952,2679.9813456601787,158.7215500039747,544.5518000000448,551.764662498681,0.0,0.0,0.0,94.0,94.0,350.8757937576859
RandomClifford,ceiling_aware,40,0.1935843603262552,0.08002373203511375,0.07263132700632699,0.07632996346919788,0.026785714285714284,9.954945000208681,3.615863416801032,9.57265000033658,0.08689249989402015,7.6745100024709245,97.5,0.0,0.025,50.65,40.95,1.6230154962000714
RandomClifford,naive,40,0.1935843603262552,0.08002373203511375,0.07263132700632699,0.07632996346919788,0.026785714285714284,16.157029999158112,11.097515887223958,11.274349999439437,4.092217500510742,7.909824999660486,0.0,0.0,0.025,50.65,40.95,1.6230154962000714
SurfaceCode,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,0.815547499951208,0.20560303770227203,0.8161500081769191,0.0,0.0,100.0,100.0,0.0,10.65,10.65,8.932815072151852
SurfaceCode,naive,40,0.0,0.0,0.0,0.0,0.0,7.285134999619913,7.996253165262945,3.2673500027158298,2.2552700011146953,2.4451549998047994,0.0,0.0,0.0,10.65,10.65,8.932815072151852
UCCSD,ceiling_aware,40,0.001,0.006324555320336759,0.0015625,0.009882117688026186,0.0,3.4002175016212277,1.3871869912227694,3.174250006850343,0.1210775000799913,0.0,97.5,100.0,0.025,65.375,65.35,6.706013656398426
UCCSD,naive,40,0.001,0.006324555320336759,0.0015625,0.009882117688026186,0.0,22.80190500059689,15.301398532577407,16.13000000361353,6.499884999357164,9.209722500600037,0.0,0.0,0.025,65.375,65.35,6.706013656398426
VQE,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,1.5286900008504745,0.5648260391396557,1.3619999954244122,0.0,0.0,100.0,100.0,0.0,34.0,34.0,7.852754641858934
VQE,naive,40,0.0,0.0,0.0,0.0,0.0,12.004427500141901,8.044658331874444,8.765950005908962,3.372654999111546,4.642094999508117,0.0,0.0,0.0,34.0,34.0,7.852754641858934
