schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,circuit_type,benchmark_suite,n_qubits,depth,gate_count_total,gate_count_1q,gate_count_2q,gate_count_multiq,gate_counts_json,compiled_depth,compiled_gate_counts_json,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,fidelity,success,runtime_seconds,optimizer,optimizer_version,optimizer_config_json,compiler,compiler_version,compiler_optimization_level,compiler_config_id,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,env_id,notes
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.205436+00:00,adder_3,Adder,quantum_adder,extended_v5_smoke,4,6,6,1,2,3,"{""ccx"":3,""cx"":2,""x"":1}",6,"{""ccx"":3,""cx"":2,""x"":1}",6,6,0.0,0.0,1.0,True,0.00708770751953125,none,none,{},qiskit_transpile,2.4.1,3,qiskit_heavy_hex,42,8,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.242719+00:00,qwalk_3,QuantumWalk,quantum_walk,extended_v5_smoke,4,29,46,28,6,12,"{""ccx"":6,""cx"":6,""h"":3,""mcx"":6,""ry"":1,""x"":24}",179,"{""ccx"":6,""cx"":90,""h"":15,""p"":90,""ry"":1,""x"":24}",46,226,-3.913043478260869,-391.30434782608694,0.999999999999992,True,0.008126497268676758,none,none,{},qiskit_transpile,2.4.1,0,qiskit_heavy_hex,42,9,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,bd97910978c45d89b2e706cb72ed5c7ad32da6f9c7c4cef89372874f609bb98d,0beefbe297b32dc9ec283501ebd271f6102e615e89859d51183e5d935cb94f45,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.275766+00:00,qwalk_3,QuantumWalk,quantum_walk,extended_v5_smoke,4,29,46,28,6,12,"{""ccx"":6,""cx"":6,""h"":3,""mcx"":6,""ry"":1,""x"":24}",169,"{""ccx"":6,""cx"":90,""p"":68,""u1"":5,""u2"":4,""u3"":14,""x"":2}",46,189,-3.108695652173913,-310.8695652173913,0.9999999999999948,True,0.0059468746185302734,none,none,{},qiskit_transpile,2.4.1,1,qiskit_heavy_hex,42,9,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,bd97910978c45d89b2e706cb72ed5c7ad32da6f9c7c4cef89372874f609bb98d,aff9a30f9eeae81719871d2b1828802201f8bfbda09335e93a4de37ae3f29f30,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.313280+00:00,qwalk_3,QuantumWalk,quantum_walk,extended_v5_smoke,4,29,46,28,6,12,"{""ccx"":6,""cx"":6,""h"":3,""mcx"":6,""ry"":1,""x"":24}",149,"{""ccx"":6,""cx"":75,""p"":63,""u1"":5,""u2"":2,""u3"":6,""unitary"":5,""x"":2}",46,164,-2.5652173913043477,-256.52173913043475,0.9999999999999941,True,0.011010408401489258,none,none,{},qiskit_transpile,2.4.1,2,qiskit_heavy_hex,42,9,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,bd97910978c45d89b2e706cb72ed5c7ad32da6f9c7c4cef89372874f609bb98d,fc7c874bbfa4350e89194443d58045314605d9bc83e0647c9d1c4602e58cf73d,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.350282+00:00,qwalk_3,QuantumWalk,quantum_walk,extended_v5_smoke,4,29,46,28,6,12,"{""ccx"":6,""cx"":6,""h"":3,""mcx"":6,""ry"":1,""x"":24}",149,"{""ccx"":6,""cx"":75,""p"":63,""u1"":5,""u2"":2,""u3"":6,""unitary"":5,""x"":2}",46,164,-2.5652173913043477,-256.52173913043475,0.9999999999999941,True,0.009001731872558594,none,none,{},qiskit_transpile,2.4.1,3,qiskit_heavy_hex,42,9,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,bd97910978c45d89b2e706cb72ed5c7ad32da6f9c7c4cef89372874f609bb98d,fc7c874bbfa4350e89194443d58045314605d9bc83e0647c9d1c4602e58cf73d,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.355284+00:00,iqp_3,IQP,iqp,extended_v5_smoke,3,7,17,15,2,0,"{""cz"":2,""h"":6,""rz"":9}",7,"{""cz"":2,""h"":6,""rz"":9}",17,17,0.0,0.0,0.999999999999998,True,0.0030019283294677734,none,none,{},qiskit_transpile,2.4.1,0,qiskit_heavy_hex,42,10,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,d02e3ecde9f57aa38d95595a12111ce2c60c01c291e4e33c0d19e7f94ca55c62,95b8449154289e28deb747ebff9fb2297bbe817b7e1b10fc9185e3694bca8a3f,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.362285+00:00,iqp_3,IQP,iqp,extended_v5_smoke,3,7,17,15,2,0,"{""cz"":2,""h"":6,""rz"":9}",4,"{""cz"":2,""u2"":6}",17,8,0.5294117647058824,52.94117647058824,0.999999999999998,True,0.005002498626708984,none,none,{},qiskit_transpile,2.4.1,1,qiskit_heavy_hex,42,10,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,d02e3ecde9f57aa38d95595a12111ce2c60c01c291e4e33c0d19e7f94ca55c62,ffc7b0edd0f439732fd53a38f0141e64b474e1d0423f3ab953721c8199e4a556,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.371284+00:00,iqp_3,IQP,iqp,extended_v5_smoke,3,7,17,15,2,0,"{""cz"":2,""h"":6,""rz"":9}",4,"{""cz"":2,""h"":3,""u2"":3}",17,8,0.5294117647058824,52.94117647058824,0.999999999999998,True,0.0069997310638427734,none,none,{},qiskit_transpile,2.4.1,2,qiskit_heavy_hex,42,10,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,d02e3ecde9f57aa38d95595a12111ce2c60c01c291e4e33c0d19e7f94ca55c62,f95a7c629e99765d0f00e03158713b808eb6a5749bfae14e96a8bb1b04c7c8e7,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.380282+00:00,iqp_3,IQP,iqp,extended_v5_smoke,3,7,17,15,2,0,"{""cz"":2,""h"":6,""rz"":9}",4,"{""cz"":2,""h"":3,""u2"":3}",17,8,0.5294117647058824,52.94117647058824,0.999999999999998,True,0.007001399993896484,none,none,{},qiskit_transpile,2.4.1,3,qiskit_heavy_hex,42,10,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,d02e3ecde9f57aa38d95595a12111ce2c60c01c291e4e33c0d19e7f94ca55c62,f95a7c629e99765d0f00e03158713b808eb6a5749bfae14e96a8bb1b04c7c8e7,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.387374+00:00,clifford_3,RandomClifford,random_clifford,extended_v5_smoke,3,12,25,21,4,0,"{""cx"":4,""h"":12,""s"":9}",12,"{""cx"":4,""h"":12,""s"":9}",25,25,0.0,0.0,0.9999999999999967,True,0.002002239227294922,none,none,{},qiskit_transpile,2.4.1,0,qiskit_heavy_hex,42,11,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,85dfe98fd4307bc57ac18eb29d0be9cedbae20ad1cfc120617cc115f7595d373,1770f366bb6f8e3d4b616e53ce190ff9d1cac1b5f5c180a3f7902b0bf9cdeb58,e12_smoke_20260622_034413_nocoupling,
