schema_version,experiment_id,run_id,timestamp_utc,mode,n_qubits,depth,trial,seed,optimizer,listing_model,wire_traversal,original_size,optimized_size,reduction,fidelity,runtime_seconds,success
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.082399+00:00,full,5,1,32,42000132,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.006014585494995117,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.091385+00:00,full,5,1,33,42000133,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.00798487663269043,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.100392+00:00,full,5,1,33,42000133,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.009006500244140625,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.103393+00:00,full,5,1,34,42000134,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.002000570297241211,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.105391+00:00,full,5,1,34,42000134,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.0019981861114501953,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.108391+00:00,full,5,1,35,42000135,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.0019991397857666016,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.110392+00:00,full,5,1,35,42000135,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.0020003318786621094,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.112907+00:00,full,5,1,36,42000136,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.0025153160095214844,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.115907+00:00,full,5,1,36,42000136,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.0030002593994140625,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.118906+00:00,full,5,1,37,42000137,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.0020003318786621094,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.120905+00:00,full,5,1,37,42000137,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.0019989013671875,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.124585+00:00,full,5,1,38,42000138,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.0016791820526123047,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.127591+00:00,full,5,1,38,42000138,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999998,0.0030057430267333984,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.132808+00:00,full,5,1,39,42000139,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.003216266632080078,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.134817+00:00,full,5,1,39,42000139,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.002008676528930664,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.137815+00:00,full,5,1,40,42000140,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.0019989013671875,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.139816+00:00,full,5,1,40,42000140,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.0020008087158203125,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.143221+00:00,full,5,1,41,42000141,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.0024046897888183594,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.145220+00:00,full,5,1,41,42000141,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999998,0.0019996166229248047,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.147220+00:00,full,5,1,42,42000142,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.0010004043579101562,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.149222+00:00,full,5,1,42,42000142,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999998,0.0020024776458740234,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.152681+00:00,full,5,1,43,42000143,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999993,0.00200653076171875,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.155681+00:00,full,5,1,43,42000143,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999993,0.0030002593994140625,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.158680+00:00,full,5,1,44,42000144,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.001999378204345703,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.160682+00:00,full,5,1,44,42000144,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.002001523971557617,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.165681+00:00,full,5,1,45,42000145,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.004000425338745117,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.168681+00:00,full,5,1,45,42000145,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.0029997825622558594,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.172681+00:00,full,5,1,46,42000146,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999991,0.002998828887939453,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.183039+00:00,full,5,1,46,42000146,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999991,0.010359048843383789,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.186039+00:00,full,5,1,47,42000147,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.001999378204345703,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.191040+00:00,full,5,1,47,42000147,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999998,0.00500035285949707,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.196039+00:00,full,5,1,48,42000148,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.003999948501586914,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.200046+00:00,full,5,1,48,42000148,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.004006862640380859,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.207439+00:00,full,5,1,49,42000149,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999991,0.0053937435150146484,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.210457+00:00,full,5,1,49,42000149,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999991,0.0030176639556884766,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.218974+00:00,full,5,1,50,42000150,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.00500035285949707,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.223973+00:00,full,5,1,50,42000150,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.004999399185180664,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.257031+00:00,full,5,1,51,42000151,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.029514551162719727,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.265031+00:00,full,5,1,51,42000151,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.008000373840332031,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.269611+00:00,full,5,1,52,42000152,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.003578662872314453,True
