family,strategy_name,n_instances,mean_gate_reduction,std_gate_reduction,mean_depth_reduction,std_depth_reduction,mean_cnot_reduction,mean_total_time_ms,std_total_time_ms,median_total_time_ms,mean_phase1_time_ms,mean_phase2_time_ms,pct_phase1_skipped,pct_phase2_skipped,mean_ceiling_proxy,mean_original_size,mean_optimized_size,speedup
HardwareEfficient,ceiling_aware,12,0.0,0.0,0.0,0.0,0.0,1.4584499999727996,0.43369462135761383,1.4309999999113643,0.0,0.0,100.0,100.0,0.0,40.0,40.0,780.1915789739378
HardwareEfficient,naive,12,0.0,0.0,0.0,0.0,0.0,1137.870408333318,1900.3760439370603,127.01389999983803,378.92983333335906,380.5258249999876,0.0,0.0,0.0,40.0,40.0,780.1915789739378
IQP,ceiling_aware,12,0.0,0.0,0.0,0.0,0.0,1.1814583328183896,0.3338063622514117,1.1109999977634288,0.0,0.0,100.0,100.0,0.0,39.166666666666664,39.166666666666664,777.5298398730649
IQP,naive,12,0.0,0.0,0.0,0.0,0.0,918.6191083329808,1542.9765992331904,91.90025000134483,305.60550833373173,306.83021666603355,0.0,0.0,0.0,39.166666666666664,39.166666666666664,777.5298398730649
Oracle,ceiling_aware,12,0.1329059829059829,0.3043364653786097,0.08333333333333333,0.28867513459481287,0.0,1.9325166666703808,1.2196291432421176,1.4135999999780324,0.0,0.6486666666584521,100.0,75.0,0.0,21.666666666666668,20.0,1294.2474967849405
Oracle,naive,12,0.1329059829059829,0.3043364653786097,0.08333333333333333,0.28867513459481287,0.0,2501.1548583333174,4236.1959069442355,240.6836499999372,830.2905166666127,829.787341666588,0.0,0.0,0.0,21.666666666666668,20.0,1294.2474967849405
QAOA,ceiling_aware,12,0.0,0.0,0.0,0.0,0.0,1.3757333332478083,0.5447149651427347,1.2446499997622595,0.0,0.0,100.0,100.0,0.0,32.0,32.0,813.7903179416091
QAOA,naive,12,0.0,0.0,0.0,0.0,0.0,1119.5584666666036,1891.1417304200543,108.98679999991145,357.9491999999315,382.94886666661415,0.0,0.0,0.0,32.0,32.0,813.7903179416091
QFT,ceiling_aware,12,0.0,0.0,0.0,0.0,0.0,1.5364416666064546,0.8793318697439239,1.253049999832001,0.0,0.0,100.0,100.0,0.0,30.5,30.5,1134.8128468279251
QFT,naive,12,0.0,0.0,0.0,0.0,0.0,1743.5737416667127,2941.008311468882,184.77470000016183,599.1933916666312,581.1558833333947,0.0,0.0,0.0,30.5,30.5,1134.8128468279251
QuantumWalk,ceiling_aware,12,0.0,0.0,0.0,0.0,0.0,4.002641666753941,1.940386539196845,3.927799999701165,0.0,0.0,100.0,100.0,0.0,94.0,94.0,508474.7452800438
QuantumWalk,naive,12,0.0,0.0,0.0,0.0,0.0,2035242.20195,3539157.6471737428,122119.11175,685118.8812000003,661157.438566667,0.0,0.0,0.0,94.0,94.0,508474.7452800438
RandomClifford,ceiling_aware,12,0.167159544273448,0.07712099234260746,0.10455516705516706,0.08843098862882445,0.0625,353.5975999996784,582.6300473021125,43.33330000008573,0.25775833334288717,351.6502083330124,91.66666666666666,0.0,0.08333333333333333,55.0,45.666666666666664,3.011521736386735
RandomClifford,naive,12,0.167159544273448,0.07712099234260746,0.10455516705516706,0.08843098862882445,0.0625,1064.8668583332135,1766.9804969561646,124.71670000013546,375.033041666029,345.19068333308195,0.0,0.0,0.08333333333333333,55.0,45.666666666666664,3.011521736386735
SurfaceCode,ceiling_aware,12,0.0,0.0,0.0,0.0,0.0,0.5723166674821792,0.134676628203185,0.5600000040431041,0.0,0.0,100.0,100.0,0.0,10.333333333333334,10.333333333333334,2680.6084297373
SurfaceCode,naive,12,0.0,0.0,0.0,0.0,0.0,1534.1568833318888,2601.5995292365283,139.72015000035753,507.5598416678986,513.5847416671216,0.0,0.0,0.0,10.333333333333334,10.333333333333334,2680.6084297373
UCCSD,ceiling_aware,12,0.0,0.0,0.0,0.0,0.0,1.9946083339164034,0.7253116528251515,1.9849000018439256,0.0,0.0,100.0,100.0,0.0,66.66666666666667,66.66666666666667,1024.1116172695436
UCCSD,naive,12,0.0,0.0,0.0,0.0,0.0,2042.7015666664374,3443.3184399841307,191.0288999970362,686.4124666662974,679.5401416657114,0.0,0.0,0.0,66.66666666666667,66.66666666666667,1024.1116172695436
VQE,ceiling_aware,12,0.0,0.0,0.0,0.0,0.0,1.540633333358225,0.7732669635047932,1.290900000185502,0.0,0.0,100.0,100.0,0.0,34.0,34.0,682.7091942597106
VQE,naive,12,0.0,0.0,0.0,0.0,0.0,1051.8045416666457,1759.287945525998,112.3993999999584,353.63506666669764,349.2833749999515,0.0,0.0,0.0,34.0,34.0,682.7091942597106
