experiment,n_qubits,depth,trial,seed,optimizer,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
4,5,15,8,50,rls,75,1.5933364667074073,0.9104779809756612,75,75,0.0,0.9999999999999948,False,7.852980375289917,3.0.0
4,5,15,8,50,sa,75,1.5933364667074073,0.9104779809756612,75,75,0.0,0.9999999999999948,False,3.8320224285125732,3.0.0
4,5,15,8,50,ga,75,1.5933364667074073,0.9104779809756612,75,75,0.0,0.9999999999999948,False,9.76070523262024,3.0.0
4,5,15,9,51,greedy,75,1.4676486589002364,0.8386563765144208,75,75,0.0,0.9999999999999944,False,0.0015697479248046875,3.0.0
4,5,15,9,51,rls,75,1.4676486589002364,0.8386563765144208,75,75,0.0,0.9999999999999944,False,9.726088762283325,3.0.0
4,5,15,9,51,sa,75,1.4676486589002364,0.8386563765144208,75,75,0.0,0.9999999999999944,False,3.675882577896118,3.0.0
4,5,15,9,51,ga,75,1.4676486589002364,0.8386563765144208,75,75,0.0,0.9999999999999944,False,8.296486854553223,3.0.0
4,5,15,10,52,greedy,75,0.6083726587122836,0.3476415192641621,75,75,0.0,0.999999999999992,False,0.0017910003662109375,3.0.0
4,5,15,10,52,rls,75,0.6083726587122836,0.3476415192641621,75,75,0.0,0.9999999999999922,False,7.47853422164917,3.0.0
4,5,15,10,52,sa,75,0.6083726587122836,0.3476415192641621,75,75,0.0,0.9999999999999922,False,2.7146172523498535,3.0.0
4,5,15,10,52,ga,75,0.6083726587122836,0.3476415192641621,75,75,0.0,0.9999999999999922,False,7.440444469451904,3.0.0
4,5,15,11,53,greedy,75,1.4237638678912563,0.8135793530807179,75,75,0.0,0.9999999999999948,False,0.0015718936920166016,3.0.0
4,5,15,11,53,rls,75,1.4237638678912563,0.8135793530807179,75,75,0.0,0.9999999999999952,False,6.56299901008606,3.0.0
4,5,15,11,53,sa,75,1.4237638678912563,0.8135793530807179,75,77,-0.026666666666666616,0.999999999999995,False,2.1759705543518066,3.0.0
4,5,15,11,53,ga,75,1.4237638678912563,0.8135793530807179,75,75,0.0,0.999999999999995,False,6.283486366271973,3.0.0
4,5,15,12,54,greedy,75,1.3642299497564132,0.7795599712893789,75,75,0.0,0.9999999999999948,False,0.0026755332946777344,3.0.0
4,5,15,12,54,rls,75,1.3642299497564132,0.7795599712893789,75,75,0.0,0.999999999999995,False,5.108680009841919,3.0.0
4,5,15,12,54,sa,75,1.3642299497564132,0.7795599712893789,75,75,0.0,0.9999999999999948,False,1.9708776473999023,3.0.0
4,5,15,12,54,ga,75,1.3642299497564132,0.7795599712893789,75,75,0.0,0.999999999999995,False,6.194263696670532,3.0.0
4,5,15,13,55,greedy,75,1.7516699721181876,1.0009542697818214,75,75,0.0,0.9999999999999948,False,0.002531290054321289,3.0.0
4,5,15,13,55,rls,75,1.7516699721181876,1.0009542697818214,75,75,0.0,0.9999999999999948,False,4.4668872356414795,3.0.0
4,5,15,13,55,sa,75,1.7516699721181876,1.0009542697818214,75,75,0.0,0.9999999999999948,False,1.8432772159576416,3.0.0
4,5,15,13,55,ga,75,1.7516699721181876,1.0009542697818214,75,74,0.013333333333333308,0.9996972637642532,False,5.290588617324829,3.0.0
4,5,15,14,56,greedy,75,1.254852796201039,0.7170587406863079,75,75,0.0,0.9999999999999901,False,0.0016031265258789062,3.0.0
4,5,15,14,56,rls,75,1.254852796201039,0.7170587406863079,75,75,0.0,0.9999999999999908,False,5.518232345581055,3.0.0
4,5,15,14,56,sa,75,1.254852796201039,0.7170587406863079,75,77,-0.026666666666666616,0.9999999999999908,False,1.7311677932739258,3.0.0
4,5,15,14,56,ga,75,1.254852796201039,0.7170587406863079,75,77,-0.026666666666666616,0.9999999999999903,False,5.325764179229736,3.0.0
4,5,15,15,57,greedy,75,0.08227347515459035,0.04701341437405163,75,75,0.0,0.9999999999999942,False,0.0014712810516357422,3.0.0
4,5,15,15,57,rls,75,0.08227347515459035,0.04701341437405163,75,75,0.0,0.9999999999999944,False,5.596832990646362,3.0.0
4,5,15,15,57,sa,75,0.08227347515459035,0.04701341437405163,75,75,0.0,0.9999999999999944,False,1.8474059104919434,3.0.0
4,5,15,15,57,ga,75,0.08227347515459035,0.04701341437405163,75,75,0.0,0.9999999999999942,False,6.0404157638549805,3.0.0
4,5,15,16,58,greedy,75,0.8121336095013101,0.4640763482864629,75,75,0.0,0.9999999999999936,False,0.0019991397857666016,3.0.0
4,5,15,16,58,rls,75,0.8121336095013101,0.4640763482864629,75,75,0.0,0.9999999999999944,False,5.301238059997559,3.0.0
4,5,15,16,58,sa,75,0.8121336095013101,0.4640763482864629,75,75,0.0,0.999999999999994,False,1.8784046173095703,3.0.0
4,5,15,16,58,ga,75,0.8121336095013101,0.4640763482864629,75,75,0.0,0.999999999999994,False,6.192942380905151,3.0.0
4,5,15,17,59,greedy,75,1.1086431951358642,0.6335103972204938,75,75,0.0,0.9999999999999948,False,0.0021142959594726562,3.0.0
4,5,15,17,59,rls,75,1.1086431951358642,0.6335103972204938,75,75,0.0,0.9999999999999948,False,4.793106317520142,3.0.0
4,5,15,17,59,sa,75,1.1086431951358642,0.6335103972204938,75,75,0.0,0.9999999999999948,False,1.7866578102111816,3.0.0
4,5,15,17,59,ga,75,1.1086431951358642,0.6335103972204938,75,75,0.0,0.9999999999999948,False,5.706072568893433,3.0.0
4,5,15,18,60,greedy,75,1.4165159164848238,0.8094376665627564,75,75,0.0,0.9999999999999961,False,0.0020678043365478516,3.0.0
4,5,15,18,60,rls,75,1.4165159164848238,0.8094376665627564,75,75,0.0,0.9999999999999961,False,4.896242141723633,3.0.0
4,5,15,18,60,sa,75,1.4165159164848238,0.8094376665627564,75,75,0.0,0.9999999999999961,False,1.9399490356445312,3.0.0
4,5,15,18,60,ga,75,1.4165159164848238,0.8094376665627564,75,75,0.0,0.9999999999999961,False,7.29905891418457,3.0.0
4,5,15,19,61,greedy,75,0.9078310091281482,0.5187605766446561,75,75,0.0,0.9999999999999952,False,0.002512693405151367,3.0.0
4,5,15,19,61,rls,75,0.9078310091281482,0.5187605766446561,75,75,0.0,0.9999999999999954,False,6.049279689788818,3.0.0
4,5,15,19,61,sa,75,0.9078310091281482,0.5187605766446561,75,75,0.0,0.9999999999999952,False,4.945213794708252,3.0.0
4,5,15,19,61,ga,75,0.9078310091281482,0.5187605766446561,75,74,0.013333333333333308,0.9981205583400073,False,14.710361003875732,3.0.0
4,5,15,20,62,greedy,75,1.6958500136572727,0.9690571506612987,75,75,0.0,0.9999999999999948,False,0.0025129318237304688,3.0.0
4,5,15,20,62,rls,75,1.6958500136572727,0.9690571506612987,75,75,0.0,0.9999999999999948,False,10.961522102355957,3.0.0
4,5,15,20,62,sa,75,1.6958500136572727,0.9690571506612987,75,75,0.0,0.9999999999999948,False,4.899439811706543,3.0.0
4,5,15,20,62,ga,75,1.6958500136572727,0.9690571506612987,75,75,0.0,0.9999999999999948,False,23.784120798110962,3.0.0
4,5,15,21,63,greedy,75,1.3172791887886162,0.7527309650220664,75,75,0.0,0.9999999999999959,False,0.004732370376586914,3.0.0
4,5,15,21,63,rls,75,1.3172791887886162,0.7527309650220664,75,75,0.0,0.9999999999999961,False,11.125824689865112,3.0.0
4,5,15,21,63,sa,75,1.3172791887886162,0.7527309650220664,75,79,-0.05333333333333323,0.9999999999999961,False,3.8462231159210205,3.0.0
4,5,15,21,63,ga,75,1.3172791887886162,0.7527309650220664,75,77,-0.026666666666666616,0.9999999999999961,False,10.794568300247192,3.0.0
4,5,15,22,64,greedy,75,1.6870784312016092,0.9640448178294909,75,75,0.0,0.9999999999999927,False,0.0026962757110595703,3.0.0
4,5,15,22,64,rls,75,1.6870784312016092,0.9640448178294909,75,75,0.0,0.9999999999999927,False,12.257513523101807,3.0.0
4,5,15,22,64,sa,75,1.6870784312016092,0.9640448178294909,75,77,-0.026666666666666616,0.9999999999999929,False,4.798722743988037,3.0.0
