experiment,n_qubits,depth,trial,seed,optimizer,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
4,5,15,47,89,greedy,75,1.1540238227797923,0.6594421844455957,75,75,0.0,0.999999999999994,False,0.0009963512420654297,3.0.0
4,5,15,47,89,rls,75,1.1540238227797923,0.6594421844455957,75,75,0.0,0.9999999999999942,False,6.536295652389526,3.0.0
4,5,15,47,89,sa,75,1.1540238227797923,0.6594421844455957,75,79,-0.05333333333333323,0.9999999999999942,False,2.247990131378174,3.0.0
4,5,15,47,89,ga,75,1.1540238227797923,0.6594421844455957,75,75,0.0,0.999999999999994,False,7.013719320297241,3.0.0
4,5,15,48,90,greedy,75,1.5442918778821833,0.8824525016469619,75,75,0.0,0.9999999999999948,False,0.001505136489868164,3.0.0
4,5,15,48,90,rls,75,1.5442918778821833,0.8824525016469619,75,75,0.0,0.9999999999999948,False,5.415809631347656,3.0.0
4,5,15,48,90,sa,75,1.5442918778821833,0.8824525016469619,75,75,0.0,0.9999999999999948,False,2.297572135925293,3.0.0
4,5,15,48,90,ga,75,1.5442918778821833,0.8824525016469619,75,75,0.0,0.9999999999999948,False,6.646723508834839,3.0.0
4,5,15,49,91,greedy,75,0.5756068428614267,0.3289181959208153,75,75,0.0,0.9999999999999936,False,0.0023102760314941406,3.0.0
4,5,15,49,91,rls,75,0.5756068428614267,0.3289181959208153,75,75,0.0,0.9999999999999938,False,5.6230292320251465,3.0.0
4,5,15,49,91,sa,75,0.5756068428614267,0.3289181959208153,75,75,0.0,0.9999999999999936,False,2.2410435676574707,3.0.0
4,5,15,49,91,ga,75,0.5756068428614267,0.3289181959208153,75,75,0.0,0.9999999999999938,False,6.736130237579346,3.0.0
