experiment,n_qubits,depth,circuit_id,sample,base_entropy,perturbed_entropy,entropy_diff,base_gates,perturbed_gates,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
5,5,10,0,38,0.6422975499591169,0.7019166977676125,0.05961914780849553,50,50,50,0.0,0.9999999999999966,False,0.0020160675048828125,3.0.0
5,5,10,0,39,0.6422975499591169,0.642297549959116,8.881784197001252e-16,50,49,49,0.0,0.9999999999999963,False,0.0020058155059814453,3.0.0
5,5,10,0,40,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,50,50,0.0,0.9999999999999966,False,0.0009992122650146484,3.0.0
5,5,10,0,41,0.6422975499591169,0.6422975499591165,4.440892098500626e-16,50,50,50,0.0,0.9999999999999963,False,0.005358219146728516,3.0.0
5,5,10,0,42,0.6422975499591169,0.6422975499591167,2.220446049250313e-16,50,50,50,0.0,0.9999999999999963,False,0.002009868621826172,3.0.0
5,5,10,0,43,0.6422975499591169,0.6422975499591165,4.440892098500626e-16,50,50,50,0.0,0.9999999999999963,False,0.003005504608154297,3.0.0
5,5,10,0,44,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,49,49,0.0,0.9999999999999966,False,0.00152587890625,3.0.0
5,5,10,0,45,0.6422975499591169,0.6422975499591169,0.0,50,49,49,0.0,0.9999999999999966,False,0.00099945068359375,3.0.0
5,5,10,0,46,0.6422975499591169,0.6422975499591161,7.771561172376096e-16,50,49,49,0.0,0.9999999999999966,False,0.0015227794647216797,3.0.0
5,5,10,0,47,0.6422975499591169,0.6422975499591166,3.3306690738754696e-16,50,50,50,0.0,0.9999999999999966,False,0.0020301342010498047,3.0.0
5,5,10,0,48,0.6422975499591169,0.6422975499591161,7.771561172376096e-16,50,50,50,0.0,0.9999999999999959,False,0.0009992122650146484,3.0.0
5,5,10,0,49,0.6422975499591169,0.6422975499591166,3.3306690738754696e-16,50,50,50,0.0,0.9999999999999963,False,0.003057241439819336,3.0.0
5,5,10,0,50,0.6422975499591169,0.6422975499591166,3.3306690738754696e-16,50,50,50,0.0,0.9999999999999963,False,0.0010056495666503906,3.0.0
5,5,10,0,51,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,49,49,0.0,0.9999999999999966,False,0.0015244483947753906,3.0.0
5,5,10,0,52,0.6422975499591169,0.6422975499591161,7.771561172376096e-16,50,49,49,0.0,0.9999999999999961,False,0.002518892288208008,3.0.0
5,5,10,0,53,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,49,49,0.0,0.9999999999999966,False,0.0025177001953125,3.0.0
5,5,10,0,54,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,50,50,0.0,0.9999999999999966,False,0.00252532958984375,3.0.0
5,5,10,0,55,0.6422975499591169,0.642297549959116,8.881784197001252e-16,50,50,49,0.020000000000000018,0.9999999999999966,False,0.003899812698364258,3.0.0
5,5,10,0,56,0.6422975499591169,0.6422975499591168,1.1102230246251565e-16,50,49,49,0.0,0.9999999999999966,False,0.0015230178833007812,3.0.0
5,5,10,0,57,0.6422975499591169,0.6422975499591161,7.771561172376096e-16,50,50,50,0.0,0.9999999999999961,False,0.0030374526977539062,3.0.0
5,5,10,0,58,0.6422975499591169,0.6422975499591168,1.1102230246251565e-16,50,50,50,0.0,0.9999999999999963,False,0.0015101432800292969,3.0.0
5,5,10,0,59,0.6422975499591169,0.8721262599061077,0.22982870994699078,50,49,49,0.0,0.9999999999999961,False,0.003040790557861328,3.0.0
5,5,10,0,60,0.6422975499591169,0.6422975499591166,3.3306690738754696e-16,50,50,50,0.0,0.9999999999999961,False,0.001544952392578125,3.0.0
5,5,10,0,61,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,49,49,0.0,0.9999999999999966,False,0.0015041828155517578,3.0.0
5,5,10,0,62,0.6422975499591169,0.6422975499591166,3.3306690738754696e-16,50,50,50,0.0,0.9999999999999961,False,0.002669811248779297,3.0.0
5,5,10,0,63,0.6422975499591169,0.6422975499591161,7.771561172376096e-16,50,49,49,0.0,0.9999999999999961,False,0.0030319690704345703,3.0.0
