experiment,n_qubits,depth,entanglement_density,trial,seed,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
2,6,20,0.05,2,44,120,8.969594210681742e-15,3.587837684272697e-15,120,120,0.0,0.9999999999999869,False,0.00599980354309082,3.0.0
2,6,20,0.05,3,45,120,0.5942675852366728,0.23770703409466912,120,120,0.0,0.9999999999999887,False,0.005526542663574219,3.0.0
2,6,20,0.05,4,46,120,8.649251560300252e-15,3.4597006241201007e-15,120,120,0.0,0.9999999999999885,False,0.0035936832427978516,3.0.0
2,6,20,0.05,5,47,120,0.7926257745768401,0.31705030983073607,120,120,0.0,0.9999999999999885,False,0.004095554351806641,3.0.0
2,6,20,0.05,6,48,120,0.7797552403595156,0.31190209614380626,120,120,0.0,0.9999999999999926,False,0.0035409927368164062,3.0.0
2,6,20,0.05,7,49,120,0.8120235716873965,0.3248094286749586,120,120,0.0,0.999999999999986,False,0.0030710697174072266,3.0.0
2,6,20,0.05,8,50,120,0.40221838494993417,0.16088735397997367,120,120,0.0,0.9999999999999887,False,0.00421905517578125,3.0.0
2,6,20,0.05,9,51,120,0.9860510145230518,0.3944204058092207,120,120,0.0,0.999999999999986,False,0.004510402679443359,3.0.0
2,6,20,0.05,10,52,120,0.7043465820173924,0.281738632806957,120,120,0.0,0.9999999999999858,False,0.004025459289550781,3.0.0
2,6,20,0.05,11,53,120,8.969594210681742e-15,3.587837684272697e-15,120,120,0.0,0.9999999999999865,False,0.007009983062744141,3.0.0
2,6,20,0.05,12,54,120,7.047538308392801e-15,2.8190153233571205e-15,120,120,0.0,0.9999999999999899,False,0.007531881332397461,3.0.0
2,6,20,0.05,13,55,120,8.168737584728017e-15,3.2674950338912067e-15,120,120,0.0,0.9999999999999878,False,0.003618478775024414,3.0.0
2,6,20,0.05,14,56,120,0.8374193827704144,0.33496775310816573,120,120,0.0,0.9999999999999856,False,0.0036814212799072266,3.0.0
2,6,20,0.05,15,57,120,9.930622161826211e-15,3.972248864730485e-15,120,120,0.0,0.9999999999999856,False,0.005530118942260742,3.0.0
2,6,20,0.05,16,58,120,8.328908909918763e-15,3.331563563967505e-15,120,120,0.0,0.9999999999999878,False,0.006487846374511719,3.0.0
2,6,20,0.05,17,59,120,0.3608189695516967,0.14432758782067867,120,120,0.0,0.9999999999999845,False,0.003998994827270508,3.0.0
2,6,20,0.05,18,60,120,7.688223609155783e-15,3.0752894436623132e-15,120,120,0.0,0.9999999999999906,False,0.0055234432220458984,3.0.0
2,6,20,0.05,19,61,120,7.207709633583546e-15,2.8830838534334185e-15,120,120,0.0,0.9999999999999903,False,0.002999544143676758,3.0.0
2,6,20,0.05,20,62,120,0.952788077944503,0.3811152311778012,120,120,0.0,0.9999999999999915,False,0.007594108581542969,3.0.0
2,6,20,0.05,21,63,120,8.328908909918763e-15,3.331563563967505e-15,120,120,0.0,0.9999999999999895,False,0.0037064552307128906,3.0.0
2,6,20,0.05,22,64,120,0.8889199129641857,0.3555679651856743,120,120,0.0,0.9999999999999908,False,0.003999233245849609,3.0.0
2,6,20,0.05,23,65,120,0.5187132478651306,0.20748529914605224,120,120,0.0,0.9999999999999865,False,0.0101318359375,3.0.0
2,6,20,0.05,24,66,120,6.0865103572483304e-15,2.4346041428993322e-15,120,120,0.0,0.999999999999991,False,0.004513978958129883,3.0.0
2,6,20,0.05,25,67,120,0.6768146556793734,0.27072586227174933,120,120,0.0,0.9999999999999895,False,0.0039997100830078125,3.0.0
2,6,20,0.05,26,68,120,0.1255723950054396,0.05022895800217584,120,120,0.0,0.9999999999999899,False,0.003998994827270508,3.0.0
2,6,20,0.05,27,69,120,0.9172983812120571,0.3669193524848228,120,120,0.0,0.9999999999999891,False,0.004012584686279297,3.0.0
2,6,20,0.05,28,70,120,0.724465855689974,0.2897863422759896,120,120,0.0,0.9999999999999891,False,0.006515979766845703,3.0.0
2,6,20,0.05,29,71,120,7.688223609155783e-15,3.0752894436623132e-15,120,120,0.0,0.9999999999999887,False,0.004007816314697266,3.0.0
2,6,20,0.05,30,72,120,0.7314597886385016,0.29258391545540063,120,120,0.0,0.9999999999999847,False,0.0055272579193115234,3.0.0
2,6,20,0.05,31,73,120,0.9862625874071851,0.39450503496287403,120,120,0.0,0.9999999999999853,False,0.0039980411529541016,3.0.0
2,6,20,0.05,32,74,120,0.6008725478374832,0.2403490191349933,120,120,0.0,0.9999999999999901,False,0.00551915168762207,3.0.0
2,6,20,0.05,33,75,120,1.0891650112970679e-14,4.356660045188272e-15,120,120,0.0,0.999999999999986,False,0.002999544143676758,3.0.0
2,6,20,0.05,34,76,120,0.02960877749820206,0.011843510999280823,120,120,0.0,0.9999999999999878,False,0.004000186920166016,3.0.0
