budget_seconds,circuit_family,circuit_id,common_basis_gate_reduction_pct,design_manifest_sha256,exact_fidelity,input_circuit_sha256,listing_model,optimized_common_basis_gate_count,optimizer_runtime_seconds,original_common_basis_gate_count,output_circuit_sha256,peak_rss_mb,primary_pair_orientation,protocol_sha256,rule_set,run_id,run_order,status,template_enabled,trace,valid_equivalent_output,wall_seconds_end_to_end,window_gates
1,HardwareEfficient,hardware_eff_4,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,1f7ce6e1ac59964310bdbd87991235d720efcce0cd2bcfa26c140ef95e59e2e8,WCL,,,,,97.546875,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,72add1a781310d9261d3e2aa3279ee067085cbac297fb767d5b8f1f9b2d1009b,18941,timeout,,[],False,1.0266541999990295,16
1,HardwareEfficient,hardware_eff_8,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,43bca13faef5c6cfe77a9608604ef4b0638bd1866f694ba91570d8417f61f6dc,RANDOM_TOPOLOGICAL,,,,,99.30859375,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,1a424301bcdf407b9ae7befc7563230e4d41cfcfbe5ca9bbc6ec8a7b7d9125cc,18942,timeout,,[],False,1.0409981000011612,64
1,HardwareEfficient,hardware_eff_6,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,baa36a6bacd09d29a4e1ac1a3471506608430765957e6bc127dfa683d2dcf33d,RANDOM_TOPOLOGICAL,,,,,86.40625,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,fa125270703ad6f616ebaedf38d1c8b8b83ed4000813bed501153200344ef7f5,18943,timeout,,[],False,1.0619977999995172,64
1,VQE,vqe_twolocal_8,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,4cb477caf5f46aa76b3f54b03574649768b408906ee78ac4652943020cb7be7c,WCL,,,,,66.40625,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,b18cf1dff099318817070fee1452bbe3e85bfd2bd187dc410a8c7a66b05c48d8,18944,timeout,,[],False,1.0385604000002786,4
10,UCCSD_inspired,uccsd_8,25.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,0.9999999999999987,327b728c1ca9b595df52e9004e38fd5c2c86f6df6d8c5681d21e504efae558cc,LBL,180.0,0.04127001762390137,240.0,376a1b0931ef28a4f8aef1a2ad7d7e97438e4f71c570c92712ec3cd815db04a1,141.75,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,2bc10d4012fe9546d1e71126be7932105b8b36d9bdc9a66192ae16a825ad573e,18945,success,True,"[{'cz_conversions': 0, 'gate_count': 68, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 78, 'phase_merges': 12, 'template_rewrites': 0}, {'cz_conversions': 0, 'gate_count': 68, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 1, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,4.886686500001815,64
1,QAOA,qaoa_line_6,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,cf3c03de2da7d0f3afc65dcd7a8b9bf97cc30cecd8d496b48c60f839667848c4,RANDOM_TOPOLOGICAL,,,,,92.51171875,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,d566e358158dc81565ab4eaea4d25e33356c86b877396a4122eadd668b63e1f4,18946,timeout,,[],False,1.0443921000005503,16
1,RandomClifford,clifford_6,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,b259423cfea000395faab3e5ca8720b18bebae620bc17f21338f9ffae251d987,WCL,,,,,64.1484375,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,3271654e83cdea425b2025322a9670b41b067199f17e243e1e1c438d77fc1f6c,18947,timeout,,[],False,1.0409580000014103,16
10,Grover,grover_8,3.3802816901408406,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,0.9999999999999933,1b84760a272ee5b898d6856ea47d7309859a0aaa27c6d9f54caa0a3ca7965d66,RANDOM_TOPOLOGICAL,1372.0,0.24218297004699707,1420.0,c78d6ffacd949a912a7485fba23f93589cbb25e9aabbc7cdb5cfe42f0c391ea6,142.44140625,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,16c2a621210070a273bb232cd3d0f0ab9f8f2d1b4d882978d0af74ddcc6571e5,18948,success,False,"[{'cz_conversions': 0, 'gate_count': 1110, 'h_reorders': 84, 'hh_cancellations': 8, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 33, 'phase_merges': 0, 'template_rewrites': 0}, {'cz_conversions': 0, 'gate_count': 1110, 'h_reorders': 10, 'hh_cancellations': 0, 'iteration': 1, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,6.794587799999135,16
1,IQP,iqp_4,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,930cb78f04ba9cb29ab33d24598112a6118327a15181d12512e9f28c264180b8,LBL,,,,,92.79296875,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,27e2f688cd7cff9e4a01657c1bbddf96b55cdb69a11f0c5f006e49247122257d,18949,timeout,,[],False,1.0463485000000219,16
1,Oracle,bv_6,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,cc5fe9a32e955a3c62cf12c58fdd8fe6ea17b2a383a2d9c22c7b0c1576080d57,WCL,,,,,99.3125,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,e1c4b2ec973295ba970d32867f02a16f130f39a93c43c88af516b501e2a5942a,18950,timeout,,[],False,1.0341702999976405,16
