experiment_id,mode,n_qubits,depth,seed_index,seed_base,trial,seed,optimizer,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
E29_multi_seed_e04,smoke,5,15,0,42,7,49,rls,75,0.937657643469487,0.5358043676968497,75,215,-1.8666666666666667,0.9999999999999916,True,16.139796495437622,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,7,49,sa,75,0.937657643469487,0.5358043676968497,75,81,-0.08000000000000007,0.9999999999999959,True,1.9440851211547852,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,7,49,ga,75,0.937657643469487,0.5358043676968497,75,81,-0.08000000000000007,0.9999999999999957,True,6.541354417800903,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,8,50,greedy,75,1.5933364667074073,0.9104779809756612,75,75,0.0,0.9999999999999944,True,0.0013175010681152344,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,8,50,rls,75,1.5933364667074073,0.9104779809756612,75,207,-1.7599999999999998,0.9999999999999901,True,16.55682897567749,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,8,50,sa,75,1.5933364667074073,0.9104779809756612,75,103,-0.3733333333333333,0.9999999999999931,True,2.749443292617798,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,8,50,ga,75,1.5933364667074073,0.9104779809756612,75,77,-0.026666666666666616,0.9999999999999947,True,7.083503007888794,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,9,51,greedy,75,1.4676486589002364,0.8386563765144208,75,75,0.0,0.9999999999999944,True,0.0020072460174560547,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,9,51,rls,75,1.4676486589002364,0.8386563765144208,75,219,-1.92,0.9999999999999871,True,15.876893281936646,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,9,51,sa,75,1.4676486589002364,0.8386563765144208,75,101,-0.3466666666666667,0.9999999999999936,True,2.5140018463134766,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,9,51,ga,75,1.4676486589002364,0.8386563765144208,75,79,-0.05333333333333323,0.999999999999994,True,6.275189638137817,3.0.0
