experiment,part,circuit_family,circuit_type,n_qubits,depth,trial,seed,optimizer,gate_count,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,instance_id
10,random,Universal,random,5,20,33,75,hybrid_phase1_2,100,100,100,0.0,0.9999999999999911,False,0.07845807075500488,
10,random,Universal,random,5,20,34,76,greedy_phase1,100,100,100,0.0,0.9999999999999922,False,0.002517223358154297,
10,random,Universal,random,5,20,34,76,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999927,False,0.008000612258911133,
10,random,Universal,random,5,20,34,76,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999927,False,0.08312797546386719,
10,random,Universal,random,5,20,35,77,greedy_phase1,100,100,100,0.0,0.9999999999999936,False,0.0030035972595214844,
10,random,Universal,random,5,20,35,77,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999942,False,0.00793313980102539,
10,random,Universal,random,5,20,35,77,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999942,False,0.08216309547424316,
10,random,Universal,random,5,20,36,78,greedy_phase1,100,100,100,0.0,0.9999999999999916,False,0.002331256866455078,
10,random,Universal,random,5,20,36,78,commutation_phase2,100,100,92,0.07999999999999996,0.9999999999999931,False,0.01246190071105957,
10,random,Universal,random,5,20,36,78,hybrid_phase1_2,100,100,92,0.07999999999999996,0.9999999999999931,False,0.08517932891845703,
10,random,Universal,random,5,20,37,79,greedy_phase1,100,100,100,0.0,0.9999999999999903,False,0.0020017623901367188,
10,random,Universal,random,5,20,37,79,commutation_phase2,100,100,96,0.040000000000000036,0.999999999999991,False,0.005006074905395508,
10,random,Universal,random,5,20,37,79,hybrid_phase1_2,100,100,96,0.040000000000000036,0.999999999999991,False,0.07295894622802734,
10,random,Universal,random,5,20,38,80,greedy_phase1,100,100,100,0.0,0.9999999999999922,False,0.00151824951171875,
10,random,Universal,random,5,20,38,80,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999931,False,0.019707679748535156,
10,random,Universal,random,5,20,38,80,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999931,False,0.09267425537109375,
10,random,Universal,random,5,20,39,81,greedy_phase1,100,100,100,0.0,0.9999999999999925,False,0.002002716064453125,
10,random,Universal,random,5,20,39,81,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999929,False,0.011002779006958008,
10,random,Universal,random,5,20,39,81,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999929,False,0.08651614189147949,
10,random,Universal,random,5,20,40,82,greedy_phase1,100,100,100,0.0,0.9999999999999936,False,0.0030107498168945312,
10,random,Universal,random,5,20,40,82,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999936,False,0.007998466491699219,
10,random,Universal,random,5,20,40,82,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999936,False,0.08121013641357422,
10,random,Universal,random,5,20,41,83,greedy_phase1,100,100,100,0.0,0.9999999999999901,False,0.003010272979736328,
10,random,Universal,random,5,20,41,83,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999906,False,0.011781692504882812,
10,random,Universal,random,5,20,41,83,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999906,False,0.08743906021118164,
10,random,Universal,random,5,20,42,84,greedy_phase1,100,100,100,0.0,0.999999999999991,False,0.001998424530029297,
10,random,Universal,random,5,20,42,84,commutation_phase2,100,100,94,0.06000000000000005,0.999999999999992,False,0.030548810958862305,
10,random,Universal,random,5,20,42,84,hybrid_phase1_2,100,100,94,0.06000000000000005,0.999999999999992,False,0.11162281036376953,
10,random,Universal,random,5,20,43,85,greedy_phase1,100,100,100,0.0,0.999999999999992,False,0.0019998550415039062,
10,random,Universal,random,5,20,43,85,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999922,False,0.008531332015991211,
10,random,Universal,random,5,20,43,85,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999922,False,0.08069467544555664,
10,random,Universal,random,5,20,44,86,greedy_phase1,100,100,100,0.0,0.9999999999999883,False,0.0017020702362060547,
10,random,Universal,random,5,20,44,86,commutation_phase2,100,100,100,0.0,0.9999999999999883,False,0.006264448165893555,
10,random,Universal,random,5,20,44,86,hybrid_phase1_2,100,100,100,0.0,0.9999999999999883,False,0.0818321704864502,
10,random,Universal,random,5,20,45,87,greedy_phase1,100,100,100,0.0,0.9999999999999925,False,0.003007173538208008,
10,random,Universal,random,5,20,45,87,commutation_phase2,100,100,100,0.0,0.9999999999999925,False,0.006471395492553711,
10,random,Universal,random,5,20,45,87,hybrid_phase1_2,100,100,100,0.0,0.9999999999999925,False,0.08277463912963867,
10,random,Universal,random,5,20,46,88,greedy_phase1,100,100,100,0.0,0.9999999999999881,False,0.002009153366088867,
10,random,Universal,random,5,20,46,88,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999883,False,0.012157440185546875,
10,random,Universal,random,5,20,46,88,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999883,False,0.08293628692626953,
10,random,Universal,random,5,20,47,89,greedy_phase1,100,100,100,0.0,0.9999999999999922,False,0.0016124248504638672,
10,random,Universal,random,5,20,47,89,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999931,False,0.008008480072021484,
10,random,Universal,random,5,20,47,89,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999931,False,0.09059405326843262,
10,random,Universal,random,5,20,48,90,greedy_phase1,100,100,100,0.0,0.9999999999999922,False,0.0019996166229248047,
10,random,Universal,random,5,20,48,90,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999927,False,0.007416486740112305,
10,random,Universal,random,5,20,48,90,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999927,False,0.07412028312683105,
10,random,Universal,random,5,20,49,91,greedy_phase1,100,100,100,0.0,0.9999999999999916,False,0.0019998550415039062,
10,random,Universal,random,5,20,49,91,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999927,False,0.014998435974121094,
10,random,Universal,random,5,20,49,91,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999927,False,0.08347272872924805,
10,random,Universal,random,5,20,50,92,greedy_phase1,100,100,100,0.0,0.9999999999999936,False,0.0020651817321777344,
10,random,Universal,random,5,20,50,92,commutation_phase2,100,100,98,0.020000000000000018,0.999999999999994,False,0.008000373840332031,
10,random,Universal,random,5,20,50,92,hybrid_phase1_2,100,100,98,0.020000000000000018,0.999999999999994,False,0.0745553970336914,
10,random,Universal,random,5,20,51,93,greedy_phase1,100,100,100,0.0,0.9999999999999918,False,0.0021848678588867188,
10,random,Universal,random,5,20,51,93,commutation_phase2,100,100,98,0.020000000000000018,0.999999999999992,False,0.011008262634277344,
10,random,Universal,random,5,20,51,93,hybrid_phase1_2,100,100,98,0.020000000000000018,0.999999999999992,False,0.08195066452026367,
10,random,Universal,random,5,20,52,94,greedy_phase1,100,100,100,0.0,0.9999999999999899,False,0.0019981861114501953,
10,random,Universal,random,5,20,52,94,commutation_phase2,100,100,88,0.12,0.9999999999999911,False,0.018522024154663086,
10,random,Universal,random,5,20,52,94,hybrid_phase1_2,100,100,88,0.12,0.9999999999999911,False,0.09638237953186035,
10,random,Universal,random,5,20,53,95,greedy_phase1,100,100,100,0.0,0.9999999999999948,False,0.002185821533203125,
10,random,Universal,random,5,20,53,95,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999961,False,0.009566307067871094,
10,random,Universal,random,5,20,53,95,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999961,False,0.08741974830627441,
10,random,Universal,random,5,20,54,96,greedy_phase1,100,100,100,0.0,0.9999999999999918,False,0.0023038387298583984,
10,random,Universal,random,5,20,54,96,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999922,False,0.01051187515258789,
10,random,Universal,random,5,20,54,96,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999922,False,0.08721590042114258,
10,random,Universal,random,5,20,55,97,greedy_phase1,100,100,100,0.0,0.9999999999999897,False,0.0019998550415039062,
