experiment,part,circuit_family,circuit_type,n_qubits,depth,trial,seed,optimizer,gate_count,original_size,optimized_size,reduction,fidelity,success,runtime_seconds
10,random,Universal,random,5,20,44,86,greedy_phase1,100,100,100,0.0,0.9999999999999883,False,0.0020003318786621094
10,random,Universal,random,5,20,44,86,commutation_phase2,100,100,100,0.0,0.9999999999999883,False,0.010519266128540039
10,random,Universal,random,5,20,44,86,hybrid_phase1_2,100,100,100,0.0,0.9999999999999883,False,0.09864091873168945
10,random,Universal,random,5,20,45,87,greedy_phase1,100,100,100,0.0,0.9999999999999925,False,0.0031876564025878906
10,random,Universal,random,5,20,45,87,commutation_phase2,100,100,100,0.0,0.9999999999999925,False,0.00952768325805664
10,random,Universal,random,5,20,45,87,hybrid_phase1_2,100,100,100,0.0,0.9999999999999925,False,0.12240076065063477
10,random,Universal,random,5,20,46,88,greedy_phase1,100,100,100,0.0,0.9999999999999881,False,0.0035178661346435547
10,random,Universal,random,5,20,46,88,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999883,False,0.013537883758544922
10,random,Universal,random,5,20,46,88,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999883,False,0.10093522071838379
10,random,Universal,random,5,20,47,89,greedy_phase1,100,100,100,0.0,0.9999999999999922,False,0.0035161972045898438
10,random,Universal,random,5,20,47,89,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999931,False,0.013295412063598633
10,random,Universal,random,5,20,47,89,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999931,False,0.11493778228759766
10,random,Universal,random,5,20,48,90,greedy_phase1,100,100,100,0.0,0.9999999999999922,False,0.0015113353729248047
10,random,Universal,random,5,20,48,90,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999927,False,0.008344411849975586
10,random,Universal,random,5,20,48,90,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999927,False,0.09059882164001465
10,random,Universal,random,5,20,49,91,greedy_phase1,100,100,100,0.0,0.9999999999999916,False,0.002000570297241211
10,random,Universal,random,5,20,49,91,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999927,False,0.020979881286621094
10,random,Universal,random,5,20,49,91,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999927,False,0.11199188232421875
10,random,Universal,random,5,20,50,92,greedy_phase1,100,100,100,0.0,0.9999999999999936,False,0.0030074119567871094
10,random,Universal,random,5,20,50,92,commutation_phase2,100,100,98,0.020000000000000018,0.999999999999994,False,0.01399540901184082
10,random,Universal,random,5,20,50,92,hybrid_phase1_2,100,100,98,0.020000000000000018,0.999999999999994,False,0.11893963813781738
10,random,Universal,random,5,20,51,93,greedy_phase1,100,100,100,0.0,0.9999999999999918,False,0.0032472610473632812
10,random,Universal,random,5,20,51,93,commutation_phase2,100,100,98,0.020000000000000018,0.999999999999992,False,0.021572113037109375
10,random,Universal,random,5,20,51,93,hybrid_phase1_2,100,100,98,0.020000000000000018,0.999999999999992,False,0.1258714199066162
10,random,Universal,random,5,20,52,94,greedy_phase1,100,100,100,0.0,0.9999999999999899,False,0.003000497817993164
10,random,Universal,random,5,20,52,94,commutation_phase2,100,100,88,0.12,0.9999999999999911,False,0.028490781784057617
10,random,Universal,random,5,20,52,94,hybrid_phase1_2,100,100,88,0.12,0.9999999999999911,False,0.1570141315460205
10,random,Universal,random,5,20,53,95,greedy_phase1,100,100,100,0.0,0.9999999999999948,False,0.0034646987915039062
10,random,Universal,random,5,20,53,95,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999961,False,0.018012523651123047
10,random,Universal,random,5,20,53,95,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999961,False,0.11161351203918457
10,random,Universal,random,5,20,54,96,greedy_phase1,100,100,100,0.0,0.9999999999999918,False,0.003728628158569336
10,random,Universal,random,5,20,54,96,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999922,False,0.012212514877319336
10,random,Universal,random,5,20,54,96,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999922,False,0.12092828750610352
10,random,Universal,random,5,20,55,97,greedy_phase1,100,100,100,0.0,0.9999999999999897,False,0.003998994827270508
10,random,Universal,random,5,20,55,97,commutation_phase2,100,100,94,0.06000000000000005,0.9999999999999906,False,0.042597055435180664
10,random,Universal,random,5,20,55,97,hybrid_phase1_2,100,100,94,0.06000000000000005,0.9999999999999906,False,0.13586735725402832
10,random,Universal,random,5,20,56,98,greedy_phase1,100,100,100,0.0,0.9999999999999927,False,0.0029954910278320312
10,random,Universal,random,5,20,56,98,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999936,False,0.023992538452148438
10,random,Universal,random,5,20,56,98,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999936,False,0.10660028457641602
10,random,Universal,random,5,20,57,99,greedy_phase1,100,100,100,0.0,0.9999999999999938,False,0.003925323486328125
10,random,Universal,random,5,20,57,99,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999948,False,0.025639057159423828
10,random,Universal,random,5,20,57,99,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999948,False,0.11085844039916992
10,random,Universal,random,5,20,58,100,greedy_phase1,100,100,100,0.0,0.9999999999999911,False,0.0037174224853515625
10,random,Universal,random,5,20,58,100,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999916,False,0.015548944473266602
10,random,Universal,random,5,20,58,100,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999916,False,0.12324881553649902
10,random,Universal,random,5,20,59,101,greedy_phase1,100,100,100,0.0,0.9999999999999927,False,0.0032231807708740234
10,random,Universal,random,5,20,59,101,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999931,False,0.02777719497680664
10,random,Universal,random,5,20,59,101,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999931,False,0.21254229545593262
10,random,Universal,random,5,20,60,102,greedy_phase1,100,100,100,0.0,0.9999999999999913,False,0.004014015197753906
10,random,Universal,random,5,20,60,102,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999913,False,0.01440882682800293
10,random,Universal,random,5,20,60,102,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999913,False,0.0940093994140625
10,random,Universal,random,5,20,61,103,greedy_phase1,100,100,100,0.0,0.9999999999999918,False,0.004586219787597656
10,random,Universal,random,5,20,61,103,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999925,False,0.031018495559692383
10,random,Universal,random,5,20,61,103,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999925,False,0.13013553619384766
10,random,Universal,random,5,20,62,104,greedy_phase1,100,100,100,0.0,0.999999999999991,False,0.0036783218383789062
10,random,Universal,random,5,20,62,104,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999913,False,0.013608455657958984
10,random,Universal,random,5,20,62,104,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999913,False,0.09677433967590332
10,random,Universal,random,5,20,63,105,greedy_phase1,100,100,100,0.0,0.9999999999999897,False,0.0037279129028320312
10,random,Universal,random,5,20,63,105,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999906,False,0.014817476272583008
10,random,Universal,random,5,20,63,105,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999906,False,0.10723257064819336
10,random,Universal,random,5,20,64,106,greedy_phase1,100,100,100,0.0,0.9999999999999913,False,0.0036072731018066406
10,random,Universal,random,5,20,64,106,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999922,False,0.014143705368041992
10,random,Universal,random,5,20,64,106,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999922,False,0.09034204483032227
10,random,Universal,random,5,20,65,107,greedy_phase1,100,100,100,0.0,0.999999999999991,False,0.004070281982421875
10,random,Universal,random,5,20,65,107,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999916,False,0.023569345474243164
10,random,Universal,random,5,20,65,107,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999916,False,0.10523438453674316
10,random,Universal,random,5,20,66,108,greedy_phase1,100,100,100,0.0,0.9999999999999897,False,0.002627134323120117
10,random,Universal,random,5,20,66,108,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999903,False,0.019708871841430664
10,random,Universal,random,5,20,66,108,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999903,False,0.11704802513122559
10,random,Universal,random,5,20,67,109,greedy_phase1,100,100,100,0.0,0.9999999999999927,False,0.007019996643066406
10,random,Universal,random,5,20,67,109,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999927,False,0.010949850082397461
10,random,Universal,random,5,20,67,109,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999927,False,0.1288890838623047
10,random,Universal,random,5,20,68,110,greedy_phase1,100,100,100,0.0,0.9999999999999901,False,0.0019974708557128906
10,random,Universal,random,5,20,68,110,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999906,False,0.013953208923339844
10,random,Universal,random,5,20,68,110,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999906,False,0.09692811965942383
10,random,Universal,random,5,20,69,111,greedy_phase1,100,100,100,0.0,0.9999999999999911,False,0.002736330032348633
10,random,Universal,random,5,20,69,111,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999918,False,0.017721891403198242
10,random,Universal,random,5,20,69,111,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999918,False,0.14147710800170898
10,random,Universal,random,5,20,70,112,greedy_phase1,100,100,100,0.0,0.9999999999999927,False,0.003788471221923828
10,random,Universal,random,5,20,70,112,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999931,False,0.021353483200073242
10,random,Universal,random,5,20,70,112,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999931,False,0.14423370361328125
10,random,Universal,random,5,20,71,113,greedy_phase1,100,100,100,0.0,0.9999999999999931,False,0.00418543815612793
10,random,Universal,random,5,20,71,113,commutation_phase2,100,100,100,0.0,0.9999999999999931,False,0.02057504653930664
10,random,Universal,random,5,20,71,113,hybrid_phase1_2,100,100,100,0.0,0.9999999999999931,False,0.15120911598205566
10,random,Universal,random,5,20,72,114,greedy_phase1,100,100,100,0.0,0.999999999999992,False,0.004894733428955078
10,random,Universal,random,5,20,72,114,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999925,False,0.013843536376953125
10,random,Universal,random,5,20,72,114,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999925,False,0.11977624893188477
10,random,Universal,random,5,20,73,115,greedy_phase1,100,100,100,0.0,0.9999999999999903,False,0.008170843124389648
10,random,Universal,random,5,20,73,115,commutation_phase2,100,100,96,0.040000000000000036,0.999999999999991,False,0.040616512298583984
10,random,Universal,random,5,20,73,115,hybrid_phase1_2,100,100,96,0.040000000000000036,0.999999999999991,False,0.19486594200134277
10,random,Universal,random,5,20,74,116,greedy_phase1,100,100,100,0.0,0.9999999999999936,False,0.005205631256103516
10,random,Universal,random,5,20,74,116,commutation_phase2,100,100,100,0.0,0.9999999999999936,False,0.01165318489074707
10,random,Universal,random,5,20,74,116,hybrid_phase1_2,100,100,100,0.0,0.9999999999999936,False,0.11426210403442383
10,random,Universal,random,5,20,75,117,greedy_phase1,100,100,100,0.0,0.9999999999999931,False,0.0035462379455566406
10,random,Universal,random,5,20,75,117,commutation_phase2,100,100,100,0.0,0.9999999999999931,False,0.010767459869384766
10,random,Universal,random,5,20,75,117,hybrid_phase1_2,100,100,100,0.0,0.9999999999999931,False,0.10818886756896973
10,random,Universal,random,5,20,76,118,greedy_phase1,100,100,100,0.0,0.9999999999999918,False,0.0021331310272216797
10,random,Universal,random,5,20,76,118,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999927,False,0.02956104278564453
