n_qubits,depth,success_rate,mean_reduction,mean_entropy,n_trials
7,9,0.14,0.14539682539682533,0.248914956594711,50
7,10,0.08,0.1394285714285714,0.30907207212679655,50
7,11,0.14,0.1387012987012987,0.4125183310505187,50
7,12,0.12,0.1395238095238095,0.372001484180987,50
7,13,0.08,0.14109890109890105,0.4308857558455151,50
7,14,0.12,0.13999999999999996,0.47456836726805335,50
7,15,0.08,0.1409523809523809,0.46244404571876907,50
7,16,0.08,0.14142857142857143,0.4079469987797261,50
7,17,0.16,0.1421848739495798,0.49438307484399635,50
7,18,0.18,0.14285714285714285,0.5168716396298576,50
7,19,0.1,0.14315789473684204,0.4796933577505498,50
7,20,0.06,0.14371428571428568,0.521644943362936,50
7,21,0.12,0.1461224489795918,0.5691802724873462,50
7,22,0.08,0.14727272727272725,0.5811330353873301,50
7,23,0.04,0.14608695652173911,0.677012351093861,50
7,24,0.1,0.14714285714285713,0.7016946499542748,50
7,25,0.04,0.14582857142857136,0.7138852837786517,50
7,26,0.04,0.14505494505494504,0.7248933230460848,50
7,27,0.08,0.1464550264550264,0.61361704448683,50
7,28,0.0,0.14489795918367343,0.69770383056376,50
7,29,0.02,0.1450246305418719,0.7020914674327705,50
7,30,0.04,0.14609523809523806,0.7537733160546035,50
8,1,0.56,0.165,-8.878067739144203e-17,50
8,2,0.42,0.1625,0.09414196181029362,50
8,3,0.36,0.15999999999999998,0.00045557522258112,50
8,4,0.28,0.15625,0.0765624521804921,50
8,5,0.18,0.15299999999999994,0.014347293469523488,50
8,6,0.36,0.15249999999999997,0.1172683841746821,50
8,7,0.28,0.15214285714285716,0.1516457429467926,50
8,8,0.26,0.156875,0.2094684079967988,50
8,9,0.2,0.15166666666666662,0.22903317243648577,50
8,10,0.16,0.15149999999999994,0.2538951006002113,50
8,11,0.28,0.14818181818181814,0.3511698717464898,50
8,12,0.24,0.14541666666666664,0.3373984898452669,50
8,13,0.16,0.1469230769230769,0.4738404394449862,50
8,14,0.12,0.1457142857142857,0.38204315864407024,50
8,15,0.12,0.14399999999999996,0.3236605476979993,50
8,16,0.22,0.1446875,0.37675195961745095,50
8,17,0.2,0.1464705882352941,0.3909945561989626,50
8,18,0.16,0.14666666666666664,0.4298405792792412,50
8,19,0.14,0.14789473684210522,0.5281767116775449,50
8,20,0.04,0.14674999999999994,0.5728954752771501,50
8,21,0.1,0.14666666666666664,0.5318943442697391,50
8,22,0.08,0.14568181818181813,0.5475766735699585,50
8,23,0.04,0.14521739130434777,0.5782040378101564,50
8,24,0.02,0.14541666666666664,0.6004406645241549,50
8,25,0.02,0.14599999999999996,0.7149028472082339,50
8,26,0.04,0.14596153846153842,0.6328613635897389,50
8,27,0.06,0.14518518518518514,0.6175361598220457,50
8,28,0.04,0.1455357142857143,0.6601452341220331,50
8,29,0.02,0.1475862068965517,0.6513430097584734,50
8,30,0.04,0.1493333333333333,0.7137995349197374,50
9,1,0.6,0.1688888888888889,6.57770242116663e-17,50
9,2,0.42,0.14888888888888888,1.170318482727049e-16,50
9,3,0.34,0.1466666666666666,0.07035957911142984,50
9,4,0.28,0.14666666666666664,0.039864489007572904,50
9,5,0.26,0.15022222222222223,0.08616459076160793,50
9,6,0.24,0.15333333333333332,0.0969436562035291,50
9,7,0.24,0.15619047619047613,0.06666219192643252,50
9,8,0.22,0.15388888888888885,0.08761508657455033,50
9,9,0.16,0.15407407407407403,0.1439685517369926,50
9,10,0.12,0.15288888888888885,0.16872187446735215,50
9,11,0.16,0.14989898989898987,0.2409688228902127,50
9,12,0.14,0.15111111111111108,0.20149189366571027,50
9,13,0.12,0.15076923076923074,0.27718005497113896,50
9,14,0.1,0.14888888888888888,0.2741514528949968,50
9,15,0.12,0.1496296296296296,0.332392666056272,50
9,16,0.12,0.14861111111111108,0.35440148309365016,50
9,17,0.12,0.1513725490196078,0.465391059744265,50
9,18,0.1,0.151358024691358,0.40427948469116165,50
9,19,0.04,0.15040935672514616,0.3980454431159049,50
9,20,0.04,0.14977777777777773,0.41153881600966735,50
